nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Dépenses de fonctionnement;78.50464231739998;0.7878001624600001;1.1735037858400001;;
Dépenses d’intervention;272.81018011610996;0.00488350389;2.6000706012900006;;
Dépenses d’investissement;18.668085074510003;0.26910894160000004;0.16570234;;
Dépenses de personnel;152.81896354603;1.38029594;66.54191679979;;
Charges de la dette de l’État;50.08473;0.0177343;;;
Dépenses d’opérations financières;1.06029877631;0.000056805;9.50284365;141.20494725;
Dotations des pouvoirs publics;1.1573767;;;;
