nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Dépenses de fonctionnement;80.32346862232;0.72008287;1.1694065063799999;;
Dépenses d’intervention;279.77509776503;0.00448700389;2.57896847259;;
Dépenses d’investissement;19.71158794145;0.23705309219999998;0.2058284044;;
Dépenses de personnel;152.81899127531003;1.38029594;66.54191679979;;
Charges de la dette de l’État;50.08473;0.0177343;;;
Dépenses d’opérations financières;1.1103387031199998;0.000056805;9.5069631481;141.18104725;
Dotations des pouvoirs publics;1.1573767;;;;
