Année;Type de secteur;Mission;Code Programme;Programme;Code Externe Objectif;Libellé Objectif;Ordre Ind;Code Externe Indicateur;Libellé Indicateur;Facteur de performance;Code Interne Sous Indicateur;Libellé Sous Indicateur;Cotation;Unité;Cible;Exécution;Atteinte de la cible;commentaire
2024.0;Mission;Conseil et contrôle de l'État;;;MCA-2;Réduire les délais de jugement;1270.0;MCA-2-1;Délai moyen constaté de jugement des affaires devant le Conseil d’Etat, les cours administratives d’appel, les tribunaux administratifs et la Cour nationale du droit d’asile et délai prévisible moyen de jugement devant la Commission du contentieux du stationnement payant;Usager;24553.0;devant le Conseil d'État;;année;;;cible atteinte;
2024.0;Mission;Recherche et enseignement supérieur;;;MRA-2;"Accroître la production scientifique des opérateurs de recherche et leur
_x000D_dynamisme autour des priorités nationales de recherche";4940.0;MRA-2-1;Production scientifique des opérateurs de la mission;Citoyen;23041.0;Part des publications de référence internationale des opérateurs de la mission dans la production scientifique mondiale;;%;2.3;;absence amélioration;Estimée
2022.0;Programme;Justice;166.0;Justice judiciaire;P166-1;Rendre une justice de qualité;4310.0;P166-1-2;Pourcentage des juridictions dépassant de 15% le délai moyen de traitement (cible) des procédures civiles;Usager;3793.0;Tribunaux judiciaires;NS;%;35.0;40.0;amélioration;
2023.0;Programme;Agriculture, alimentation, forêt et affaires rurales;215.0;Conduite et pilotage des politiques de l'agriculture;P215-2;Mettre en oeuvre les actions ministérielles dans des conditions optimales de coût et de qualité de service;680.0;P215-2-1;Efficience de la fonction immobilière;Contribuable;19873.0;Ratio entretien courant / SUB;;€/m²;27.44;33.2;absence amélioration;
2022.0;Programme;Recherche et enseignement supérieur;142.0;Enseignement supérieur et recherche agricoles;P142-2;Organiser les formations dans des conditions optimales de coût et de qualité de service;5570.0;P142-2-1;Coût unitaire de formation par étudiant pour l'Etat (cursus de référence);Contribuable;23494.0;Coût unitaire de formation par étudiant pour l'Etat (cursus de référence);NS;€;14000.0;;donnée non renseignée;
2024.0;Programme;Cohésion des territoires;135.0;Urbanisme, territoires et amélioration de l'habitat;P135-1;Satisfaire dans les meilleurs délais la demande de logements locatifs, en particulier dans les zones tendues et pour les demandeurs aux ressources les plus faibles;940.0;P135-1-1;Fluidité du parc de logements sociaux;Citoyen;12536.0;Tension de la demande sur le logement social;;;;;;
2023.0;Programme;Cohésion des territoires;147.0;Politique de la ville;P147-2;Améliorer l'encadrement éducatif et les chances de réussite scolaire des élèves les plus en difficulté;1220.0;P147-2-1;Évolution des chances de réussite scolaire des élèves scolarisés dans un quartier prioritaire de la politique de la ville (QPV);Citoyen;30876.0;Ecart du taux de réussite, par genre, au brevet des collèges des élèves scolarisés en collège REP+ dans un QPV;;points;9.0;10.0;absence amélioration;
2023.0;Mission;Santé;;;MSA-1;Améliorer l'état de santé de la population et réduire les inégalités territoriales et sociales de santé;5860.0;MSA-1-2;Espérance de vie en bonne santé;Citoyen;25563.0;1. Hommes;;année;11.0;;donnée non renseignée;
2023.0;Programme;Solidarité, insertion et égalité des chances;157.0;Handicap et dépendance;P157-1;Accroître l'effectivité et la qualité des décisions prises au sein des MDPH;7480.0;P157-1-2;Qualité des décisions de la commission des droits et de l'autonomie (CDAPH) des maisons départementales des personnes handicapées (MDPH) dans le cadre d'un renouvellement;Usager;30516.0;Ecart type des taux départementaux des accords sur décision de renouvellement d'allocation aux adultes handicapés (AAH2) pour mille habitants de 20 à 62 ans;;%;2.5;1.9;absence amélioration;
2022.0;Programme;Justice;107.0;Administration pénitentiaire;P107-2;Améliorer les conditions de détention des personnes sous main de justice ainsi que les conditions de travail des personnels pénitentiaires;4500.0;P107-2-4;Taux d'occupation des structures dédiées au maintien des liens familiaux;Citoyen;11217.0;Taux d’occupation des UVF;NS;%;65.0;47.8;amélioration;
2022.0;Programme;Aide publique au développement;209.0;Solidarité à l'égard des pays en développement;P209-3;Faire valoir les priorités stratégiques françaises dans l'aide publique acheminée par les canaux européens;800.0;P209-3-1;Part des versements du FED sur les priorités stratégiques françaises;Citoyen;30072.0;Part des versements du FED pour la santé;NS;%;8.32;3.78;absence amélioration;
2023.0;Programme;Écologie, développement et mobilité durables;205.0;Affaires maritimes, pêche et aquaculture;P205-2;Promouvoir la flotte de commerce et l'emploi maritime;2520.0;P205-2-2;Evolution de l'emploi et de la flotte de commerce maritime;Citoyen;6382.0;Evolution du nombre de marins français (employés sur un navire battant pavillon français);;Nb;14000.0;15621.0;cible atteinte;
2024.0;Programme;Défense;212.0;Soutien de la politique de la défense;P212-1;Réussir la transformation du ministère et garantir les grands équilibres portés par la LPM;1935.0;P212-1-2;Taux de renouvellement des emplois primo-contractuels - Armées;Contribuable;30005.0;Armée de Terre – Officiers;;%;95.0;95.0;cible atteinte;
2022.0;Programme;Avances à l'audiovisuel public;847.0;TV5 Monde;P847-2;Développer la présence française et francophone dans le paysage audiovisuel mondial;8190.0;P847-2-2;Audience des offres numériques;Citoyen;23425.0;Fréquentation des environnements nouveaux médias;NS;visite en M/mois;;9.6;cible atteinte;
2023.0;Programme;Action extérieure de l'État;185.0;Diplomatie culturelle et d'influence;P185-2;Développer l'attractivité de la France;210.0;P185-2-2;Attractivité de la France en termes d'investissements;Citoyen;25912.0;Nombre de visites d'investisseurs auxquelles les Ambassades et BF ont contribué / nombre d'investisseurs rencontrés;;%;29.0;27.3;amélioration;
2023.0;Programme;Direction de l'action du Gouvernement;308.0;Protection des droits et libertés;P308-1;Défendre et protéger efficacement les droits et les libertés;2240.0;P308-1-1;Nombre de dossiers et de réclamations traités par an et par ETP d'agent traitant;Contribuable;24988.0;Nombre de sollicitations électroniques traitées par an et par un ETP d’agent du service des relations avec les publics de la CNIL;;Nb;1900.0;1810.0;absence amélioration;
2024.0;Programme;Enseignement scolaire;139.0;Enseignement privé du premier et du second degrés;P139-1;Conduire tous les élèves à la maîtrise des connaissances et compétences du socle commun au terme de la scolarité primaire;3480.0;P139-1-2;"Proportion d'élèves maîtrisant, en fin de sixième, les principales composantes du domaine 1 ""les langages pour penser et communiquer"" du socle commun";Citoyen;10199.0;Comprendre, s'exprimer en utilisant les langages mathématiques, scientifiques et informatiques (domaine 1);;%;88.0;82.7;absence amélioration;
2024.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-1;Evaluer la prévention et l'activité répressive des forces de sécurité;6160.0;P152-1-1;Evolution du nombre de crimes et délits et de victimes en matière d'atteintes volontaires à l'intégrité physique (AVIP) constatés en zone gendarmerie;Citoyen;30113.0;Taux de criminalité (nombre de victimes de violences physiques non crapuleuses et violences sexuelles) pour 1000 habitants;;‰;;6.88;absence amélioration;
2023.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-3;Optimiser l'emploi des forces mobiles;6240.0;P152-3-1;Engagement des forces mobiles;Citoyen;7881.0;Part d'engagement des forces mobiles en prévention de proximité;;%;;9.84;amélioration;
2023.0;Programme;Justice;107.0;Administration pénitentiaire;P107-2;Améliorer les conditions de détention des personnes sous main de justice ainsi que les conditions de travail des personnels pénitentiaires;4480.0;P107-2-2;Taux de personnes détenues benéficiant d'une cellule individuelle;Citoyen;30147.0;Taux de personnes détenues bénéficiant d'une cellule individuelle;;%;43.0;38.9;absence amélioration;
2022.0;Programme;Justice;310.0;Conduite et pilotage de la politique de la justice;P310-1;Optimiser la qualité et l'efficience des fonctions de soutien;4670.0;P310-1-4;Respect des coûts et des délais des grands projets informatiques;Contribuable;24044.0;Taux d'écart budgétaire agrégé;NS;%;28.8;32.89;cible atteinte;
2024.0;Programme;Aide publique au développement;209.0;Solidarité à l'égard des pays en développement;P209-1;Contribuer à la mise en oeuvre des ODD, en renforçant la composante bilatérale et en concentrant l'aide sur les pays prioritaires;750.0;P209-1-2;Part des crédits multilatéraux du programme et des taxes dédiés aux priorités sectorielles du CICID;Citoyen;25832.0;Part des crédits multilatéraux pour l'éducation;;%;8.8;9.83;cible atteinte;
2023.0;Programme;Immigration, asile et intégration;104.0;Intégration et accès à la nationalité française;P104-1;Améliorer les conditions d'accueil et d'intégration des étrangers;4070.0;P104-1-1;Efficience de la formation linguistique dans le cadre du CIR (contrat d'intégration républicaine);Contribuable;25045.0;Taux d'atteinte du niveau A1;;%;80.0;68.0;amélioration;
2023.0;Programme;Justice;182.0;Protection judiciaire de la jeunesse;P182-2;Optimiser l'emploi des moyens humains, financiers et matériels;4580.0;P182-2-1;Taux d'occupation et de prescription des établissements;Contribuable;3884.0;Taux d’occupation des Centres éducatifs fermés (CEF) secteurs public et associatif;;%;85.0;70.0;amélioration;
2023.0;Programme;Avances à l'audiovisuel public;843.0;Radio France;P843-2;S'adresser au public le plus large dans un environnement numérique;8000.0;P843-2-2;Audience des offres numériques;Usager;24594.0;Visites mensuelles tous supports;;millions;;269.0;cible atteinte;
2022.0;Programme;Enseignement scolaire;139.0;Enseignement privé du premier et du second degrés;P139-3;Favoriser la poursuite d'études ou l'insertion professionnelle des jeunes à l'issue de leur scolarité secondaire;3540.0;P139-3-1;Poursuite d'études des nouveaux bacheliers;Citoyen;17753.0;Taux de poursuite des bacheliers professionnels vers un BTS.;NS;%;37.0;;donnée non renseignée;
2024.0;Programme;Sport, jeunesse et vie associative;350.0;Jeux olympiques et paralympiques 2024;P350-1;Garantir la livraison des ouvrages olympiques dans les délais requis tout en maîtrisant les coûts associés;9090.0;P350-1-1;"Taux d'opérations ayant atteint un jalon essentiel dans le processus de livraison des
_x000D_ouvrages olympiques";Citoyen;30024.0;Taux d’opérations ayant atteint le jalon de lancement des travaux;;%;100.0;98.6;amélioration;
2024.0;Programme;Administration générale et territoriale de l'État;232.0;Vie politique;P232-1;Organiser les élections au meilleur coût;370.0;P232-1-1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;16153.0;Part du coût de la propagande par électeur - Élections européennes;;€/électeur inscrit;;2.29;absence amélioration;
2022.0;Programme;Conseil et contrôle de l'État;164.0;Cour des comptes et autres juridictions financières;P164-1;Garantir la qualité des comptes publics;1400.0;P164-1-1;Part contrôlée des comptes tenus par les comptables publics (en masse financière);Citoyen;434.0;Cour des comptes;NS;%;;48.0;cible atteinte;
2023.0;Programme;Avances à l'audiovisuel public;841.0;France Télévisions;P841-3;Assurer la maîtrise de la masse salariale, optimiser la gestion et être une entreprise de média exemplaire;7910.0;P841-3-2;Ressources propres;Contribuable;7816.0;Ressources propres;;M€;;404.1;donnée non renseignée;
2024.0;Programme;Avances à l'audiovisuel public;847.0;TV5 Monde;P847-2;Développer la présence française et francophone dans le paysage audiovisuel mondial;8190.0;P847-2-2;Audience des offres numériques;Citoyen;23425.0;Fréquentation des environnements nouveaux médias;;visite en M/mois;12.5;9.9;absence amélioration;
2022.0;Mission;Cohésion des territoires;;;MVA-5;Soutenir la compétitivité et l'attractivité des territoires;970.0;MVA-5-1;Ecart du taux de création d'entreprises dans les zones prioritaires d'aménagement du territoire par rapport à la moyenne nationale;Citoyen;7817.0;Ecart du taux de création d'entreprises dans les zones prioritaires d'aménagement du territoire par rapport à la moyenne nationale;NS;écart;-2.4;;donnée non renseignée;Non déterminé
2022.0;Mission;Administration générale et territoriale de l'État;;;MAB-4;Améliorer l'efficience de l'administration territoriale de l'État;360.0;MAB-4-1;Taux de préfectures certifiées ou labellisées sur le nouveau référentiel;Usager;21769.0;Taux de préfectures certifiées ou labellisées sur le nouveau référentiel;NS;%;100.0;98.0;amélioration;
2023.0;Programme;Enseignement scolaire;230.0;Vie de l'élève;P230-2;Promouvoir la santé des élèves et contribuer à améliorer leur qualité de vie;3460.0;P230-2-3;Taux de couverture des prescriptions des commissions des droits et de l'autonomie des personnes handicapées pour la scolarisation des élèves en situation de handicap;Usager;20075.0;Pour information : nombre de prescriptions de mise à disposition de matériels pédagogiques adaptés reçues;;Nb;;56951.0;donnée non retenue;
2024.0;Programme;Travail et emploi;102.0;Accès et retour à l'emploi;P102-1;Favoriser l'accès et le retour à l'emploi;6830.0;P102-1-2;Taux de retour à l'emploi de tous les publics;Citoyen;30128.0;Demandeurs d’emploi de longue durée;;%;6.9;7.0;cible atteinte;
2023.0;Programme;Travail et emploi;102.0;Accès et retour à l'emploi;P102-2;Améliorer l'efficacité du service rendu à l'usager par Pôle emploi;100.0;P102-2-1;Taux d'accès à l'emploi 6 mois après la fin d'une formation prescrite par Pôle emploi;Usager;30551.0;Taux d'accès à l'emploi des femmes 6 mois après la fin d'une formation prescrite par Pôle emploi;;%;55.6;53.5;absence amélioration;
2022.0;Mission;Cohésion des territoires;;;MVA-1;Aider les ménages modestes à faire face à leurs dépenses de logement;930.0;MVA-1-1;Taux d'effort net médian des ménages en locatif ordinaire ou en accession selon la configuration familiale et le type de parc;Citoyen;23722.0;Accession à la propriété;NS;%;24.0;24.6;amélioration;
2024.0;Programme;Enseignement scolaire;141.0;Enseignement scolaire public du second degré;P141-1;Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants;3340.0;P141-1-7;Scolarisation des élèves du second degré en situation de handicap;Usager;20068.0;Pourcentage de postes spécialisés en ULIS occupés par des enseignants spécialisés ou en cours de spécialisation;;%;84.0;75.1;absence amélioration;
2023.0;Programme;Avances à l'audiovisuel public;847.0;TV5 Monde;P847-2;Développer la présence française et francophone dans le paysage audiovisuel mondial;8180.0;P847-2-1;Audience réelle;Citoyen;14875.0;Audience cumulée hebdomadaire totale;;millions/semaine;;64.2;cible atteinte;
2024.0;Programme;Défense;144.0;Environnement et prospective de la politique de défense;P144-1;Améliorer le niveau de sécurité des forces et du patrimoine industriel et économique lié à la défense (DRSD);1790.0;P144-1-2;Taux des sites du domaine militaire et des sites industriels et économiques liés à la défense inspectés dans les délais prescrits;Citoyen;8264.0;Taux des sites du domaine militaire et des sites industriels et économiques liés à la défense inspectés dans les délais prescrits;;%;80.0;91.0;cible atteinte;
2022.0;Programme;Enseignement scolaire;139.0;Enseignement privé du premier et du second degrés;P139-2;Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants;3520.0;P139-2-3;Taux d'accès au diplôme correspondant des élèves ou apprentis inscrits en première année d'un cycle de formation;Citoyen;20758.0;Taux d'accès au BTS des élèves de première année de BTS par apprentissage;NS;%;73.0;;donnée non renseignée;
2023.0;Programme;Conseil et contrôle de l'État;165.0;Conseil d'État et autres juridictions administratives;P165-1;Réduire les délais de jugement;1270.0;P165-1-1;Délai moyen constaté de jugement des affaires;Usager;24553.0;au Conseil d'État;;année;;;cible atteinte;
2023.0;Programme;Sécurités;176.0;Police nationale;P176-4;Renforcer l'efficacité dans la lutte contre l'insécurité routière;101.0;P176-4-2;Accidentologie, infractions et dépistages liés à l’usage de stupéfiants;Citoyen;30792.0;Nombre d'accidents mortels impliquant l'usage de stupéfiants;;Nb;;52.0;cible atteinte;
2022.0;Programme;Transformation et fonction publiques;148.0;Fonction publique;P148-5;Transformation de la fonction publique - Politique RH;100.0;P148-5-1;Recrutement des apprentis;Usager;30548.0;Nombre de nouveaux apprentis dans la FPE;NS;Nb;14940.0;;donnée non renseignée;
2024.0;Programme;Enseignement scolaire;143.0;Enseignement technique agricole;P143-2;Optimiser la gestion de la formation initiale scolaire;3720.0;P143-2-1;Dépense de l’État pour la formation d’un élève de l’enseignement agricole technique;Contribuable;30948.0;Part de la dépense dédiée à l’enseignement agricole public correspondant au périmètre couvert par la subvention destinée aux établissements privés;;€;3100.0;3215.0;absence amélioration;
2023.0;Programme;Enseignement scolaire;139.0;Enseignement privé du premier et du second degrés;P139-2;Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants;3510.0;P139-2-2;Mixité des filles et des garçons en terminale;Citoyen;13007.0;Proportion de filles en terminale STI2D;;%;9.0;8.0;amélioration;
2024.0;Programme;Prêts et avances à des particuliers ou à des organismes privés;877.0;Avances remboursables et prêts bonifiés aux entreprises touchées par la crise de la covid-19 ou par le conflit en Ukraine;P877-2;Contribuer à la pérennité des entreprises les plus affectées par la crise sanitaire ou par le conflit en Ukraine;500.0;P877-2-1;Montant moyen des avances ou prêts par emploi concerné;Citoyen;30291.0;Montant moyen des avances ou prêts par emploi concerné;;€;;;donnée non retenue;Sans objet
2024.0;Programme;Culture;131.0;Création;P131-3;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;1640.0;P131-3-1;Fréquentation des lieux subventionnés;Citoyen;2353.0;Arts visuels : Fréquentation totale des lieux subventionnés;;Nb;;3225197.0;cible atteinte;
2022.0;Programme;Justice;107.0;Administration pénitentiaire;P107-1;Favoriser la réinsertion;4445.0;P107-1-6;Part des prévenus en attente de jugement sur l'ensemble de la population pénale;Citoyen;30042.0;Part de prévenus en attente de jugement sur l’ensemble de la population pénale (hors comparution immédiate et appel);NS;%;20.0;18.9;cible atteinte;
2024.0;Programme;Direction de l'action du Gouvernement;308.0;Protection des droits et libertés;P308-1;Défendre et protéger efficacement les droits et les libertés;2240.0;P308-1-1;Nombre de dossiers et de réclamations traités par an et par ETP d'agent traitant;Contribuable;30584.0;Nombre de dossiers sortants par an et par le nombre moyen d'ETP d'agent traitant de la CADA;;Nb;1100.0;1174.0;cible atteinte;
2023.0;Mission;Gestion du patrimoine immobilier de l'État;;;MYB-1;Optimiser le parc immobilier de l'État;7600.0;MYB-1-1;Rendement d'occupation des surfaces;Contribuable;24857.0;Rendement d'occupation des surfaces;;m² SUB/poste;23.1;24.93;absence amélioration;
2023.0;Programme;Enseignement scolaire;143.0;Enseignement technique agricole;P143-1;Assurer un enseignement général, technologique et professionnel conduisant à la réussite scolaire et à une bonne insertion sociale et professionnelle;3710.0;P143-1-2;Taux d'insertion professionnelle;Citoyen;17865.0;Insertion à 33 mois CAPA;;%;76.0;80.7;cible atteinte;
2023.0;Mission;Justice;;;MJA-4;Garantir une aide à la décision efficace et améliorer la qualité des prises en charge éducatives;5560.0;MJA-4-3;Durée de placement;Usager;30067.0;Part des mesures de placement terminées en CEF du secteur public et du secteur associatif habilité de 3 mois et plus;;%;75.0;55.0;absence amélioration;
2022.0;Programme;Direction de l'action du Gouvernement;308.0;Protection des droits et libertés;P308-1;Défendre et protéger efficacement les droits et les libertés;2240.0;P308-1-1;Nombre de dossiers et de réclamations traités par an et par ETP d'agent traitant;Contribuable;20324.0;Nombre de saisines traitées par an et par ETP d'agents traitants du CSA;NS;Nb;7545.0;6078.0;amélioration;
2022.0;Mission;Plan de relance;;;MPR-1;Assurer la mise en oeuvre rapide du plan de relance;100.0;MPR-1-1;Taux de consommation des crédits;Citoyen;30412.0;Taux de consommation des AE;NS;%;100.0;90.0;donnée non renseignée;
2024.0;Programme;Cohésion des territoires;109.0;Aide à l'accès au logement;P109-1;Aider les ménages modestes à faire face à leurs dépenses de logement;930.0;P109-1-1;Taux d'effort net médian des ménages en locatif ordinaire ou en accession selon la configuration familiale et le type de parc;Citoyen;25067.0;Couples avec 3 enfants ou plus;Budget intégrant l'égalité Femmes-Hommes;%;12.4;12.6;absence amélioration;
2023.0;Mission;Régimes sociaux et de retraite;;;MRB-1;Optimiser la gestion des régimes;5590.0;MRB-1-1;Coût unitaire d'une primo-liquidation de pensions de retraite;Contribuable;23554.0;Coût unitaire d'une primo-liquidation de pensions de retraite;;€;401.0;413.0;absence amélioration;
2024.0;Programme;Contrôle et exploitation aériens;614.0;Transports aériens, surveillance et certification;P614-2;Limiter les impacts environnementaux du transport aérien;100.0;P614-2-1;Respect des marchés carbone appliqués à l’aviation;Citoyen;30589.0;Proportion des émissions des compagnies françaises qui donnent lieu au paiement de l'externalité carbone (CORSIA + SEQE-EU);Budget vert;%;;80.0;cible atteinte;
2022.0;Programme;Gestion des finances publiques;156.0;Gestion fiscale et financière de l'État et du secteur public local;P156-2;Renforcer la qualité de service au profit des usagers et des partenaires;1900.0;P156-2-1;Proximité de l'administration, relation de confiance, rapidité et qualité de la transmission des informations aux usagers;Usager;30227.0;Indice de satisfaction des collectivités territoriales concernant les prestations des CDL;NS;%;;88.26;cible atteinte;
2022.0;Programme;Administration générale et territoriale de l'État;232.0;Vie politique;P232-1;Organiser les élections au meilleur coût;370.0;P232-1-1;Coût moyen de l'élection par électeur inscrit sur les listes électorales;Contribuable;6720.0;1.1.6 - Présidentielle;NS;€/électeur inscrit;4.72;4.76;absence amélioration;
2024.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-2;Renforcer l'activité des services pour mieux combattre la délinquance;6200.0;P152-2-3;Généralisation de la police technique et scientifique;Citoyen;21797.0;Taux de couverture des cambriolages;;%;;85.39;absence amélioration;
2022.0;Programme;Écologie, développement et mobilité durables;113.0;Paysages, eau et biodiversité;P113-2;Préserver et restaurer la biodiversité;9090.0;P113-2-3;Retour à la conformité en police de l'eau et de la nature;Contribuable;30083.0;Pourcentage de retours à la conformité sur l'ensemble des contrôles administratifs non conformes de l'année précédente;NS;%;60.0;41.6;absence amélioration;
2022.0;Mission;Contrôle et exploitation aériens;;;MXC-2;Concourir à la sécurité et à la sûreté de l'aviation civile;7160.0;MXC-2-1;Réduction des écarts à la réglementation grâce à des contrôles appropriés;Citoyen;23558.0;Taux de réalisation des plans de surveillance conformément au programme initial;NS;%;;86.0;absence amélioration;
2022.0;Mission;Publications officielles et information administrative;;;MXJ-1;Améliorer l'accès à l'information légale et administrative et l'offre de services aux usagers;7360.0;MXJ-1-1;Accès aux informations et aux démarches administratives;Usager;24585.0;"Taux de satisfaction des visiteurs du site ""service-public.fr""";NS;%;89.5;79.0;cible atteinte;
2023.0;Programme;Publications officielles et information administrative;623.0;Édition et diffusion;P623-1;Optimiser la production et développer la diffusion des données;7380.0;P623-1-1;Contribution au développement de l'accès à la commande publique;Usager;16217.0;Nombre total de visites sur le site « BOAMP.fr »;;visites;3200000.0;5744923.0;cible atteinte;
2022.0;Programme;Cohésion des territoires;109.0;Aide à l'accès au logement;P109-1;Aider les ménages modestes à faire face à leurs dépenses de logement;930.0;P109-1-1;Taux d'effort net médian des ménages en locatif ordinaire ou en accession selon la configuration familiale et le type de parc;Citoyen;30255.0;1.1.1 Taux d'effort net médian;NS;%;18.2;19.3;amélioration;
2022.0;Mission;Enseignement scolaire;;;MEC-2;Conduire le maximum de jeunes aux niveaux de compétences attendues en fin de formation initiale et à l'obtention des diplômes correspondants;3210.0;MEC-2-3;Proportion de jeunes âgés de 18 à 24 ans ne possédant ni CAP, ni BEP, ni diplôme plus élevé et qui ne poursuivent ni études, ni formation (champs public et privé);Citoyen;23283.0;8- Espagne;NS;%;;;donnée non renseignée;
2024.0;Programme;Défense;178.0;Préparation et emploi des forces;P178-2;Entraîner les forces;2.0;P178-2-1;Activité réalisée par type de matériel;Citoyen;31065.0;Heures d'entraînement par équipage de chars et de véhicules blindés;Vide;heure;;;;
2022.0;Programme;Action extérieure de l'État;105.0;Action de la France en Europe et dans le monde;P105-1;Renforcer la sécurité internationale et la sécurité des Français;100.0;P105-1-2;Veiller à la sécurité des Français à l'étranger;Citoyen;30162.0;Temps moyen d’attente d’un appelant;NS;secondes;20.0;27.0;amélioration;
2023.0;Programme;Enseignement scolaire;141.0;Enseignement scolaire public du second degré;P141-3;Promouvoir un aménagement équilibré du territoire éducatif en optimisant les moyens alloués;3380.0;P141-3-2;Écart de taux d'encadrement au collège entre éducation prioritaire (EP) et hors EP et proportion des enseignants avec 5 ans d'ancienneté et plus en EP;Citoyen;30177.0;Pour information : proportion d'enseignants avec 5 ans et plus d'ancienneté dans un collège hors éducation prioritaire;;%;;;donnée non renseignée;
2022.0;Programme;Avances à divers services de l'État ou organismes gérant des services publics;828.0;Avances remboursables destinées à soutenir les autorités organisatrices de la mobilité à la suite des conséquences de l'épidémie de la covid-19;P828-1;Assurer l'accès rapide des autorités organisatrices de la mobilité (AOM) au mécanisme de l'avance remboursable;100.0;P828-1-1;Taux de consommation des crédits budgétaires dédiés au 30/06/2021;Usager;30632.0;Taux de consommation des crédits budgétaires dédiés au 30/06/2021;NS;%;;;donnée non renseignée;Sans objet
2024.0;Programme;Cohésion des territoires;135.0;Urbanisme, territoires et amélioration de l'habitat;P135-1;Satisfaire dans les meilleurs délais la demande de logements locatifs, en particulier dans les zones tendues et pour les demandeurs aux ressources les plus faibles;940.0;P135-1-1;Fluidité du parc de logements sociaux;Citoyen;2880.0;En zone B2;;ratio;2.01;4.11;absence amélioration;
2024.0;Mission;Gestion des finances publiques;;;MGA-2;Améliorer l'efficacité de la lutte contre la fraude fiscale et du traitement des dépenses publiques et contribuer à l'accessibilité et à la clarté de la norme fiscale;3750.0;MGA-2-1;Taux de déclaration et de recouvrement spontanés (civisme);Citoyen;24943.0;Taux brut de recouvrement des impôts des professionnels (hors CF);;%;;99.28;cible atteinte;
2024.0;Programme;Sport, jeunesse et vie associative;219.0;Sport;P219-4;Renforcer le respect de l'éthique dans le sport et préserver la santé des sportifs;6720.0;P219-4-1;Proportion de sportifs de haut niveau, des collectifs nationaux et espoirs ayant satisfait aux obligations de suivi médical complet;Citoyen;30145.0;Proportion de sportifs des collectifs nationaux ayant bénéficié d’un suivi médical complet;;%;100.0;14.0;absence amélioration;
2023.0;Programme;Avances à l'audiovisuel public;847.0;TV5 Monde;P847-2;Développer la présence française et francophone dans le paysage audiovisuel mondial;8180.0;P847-2-1;Audience réelle;Citoyen;14880.0;Europe;;millions/semaine;;4.8;absence amélioration;
2023.0;Programme;Médias, livre et industries culturelles;334.0;Livre et industries culturelles;P334-2;Soutenir la création et la diffusion du livre;4820.0;P334-2-1;Renouvellement de la création éditoriale;Citoyen;18005.0;Part des auteurs et des traducteurs bénéficiant pour la 1ère fois des aides à la création (CNL);;%;47.0;47.9;cible atteinte;
2022.0;Programme;Justice;107.0;Administration pénitentiaire;P107-3;Renforcer la sécurité des établissements pénitentiaires;4540.0;P107-3-3;Taux de détenus radicalisés ayant suivi un programme de prévention de la radicalisation violente;Citoyen;25770.0;Taux de détenus radicalisés ayant suivi un programme de prévention de la radicalisation violente;NS;%;60.0;39.0;amélioration;
2023.0;Mission;Outre-mer;;;MOA-2;Lutter contre l'exclusion du marché du travail des publics les plus éloignés de l'emploi par des actions de formation professionnelle adaptées;4850.0;MOA-2-1;Taux d'insertion des volontaires du SMA en fin de contrat;Citoyen;8418.0;Taux d'insertion des volontaires stagiaires du SMA en fin de contrat;;%;82.5;83.02;cible atteinte;
2022.0;Programme;Défense;178.0;Préparation et emploi des forces;P178-5;Assurer la préparation des forces dans les délais impartis pour permettre la montée en puissance maximale des capacités militaires prévues;1880.0;P178-5-2;Disponibilité des matériels par rapport aux exigences des contrats opérationnels;Citoyen;16513.0;Marine nationale Composante frégates;NS;%;59.0;57.0;absence amélioration;
2023.0;Programme;Contrôle et exploitation aériens;613.0;Soutien aux prestations de l'aviation civile;P613-4;Assurer la formation des élèves ingénieurs aux meilleures conditions économiques;7230.0;P613-4-1;Coût de la formation des élèves;Contribuable;8168.0;Coût unitaire de la formation d'un élève ingénieur ENAC;;€/élève;63000.0;62801.0;cible atteinte;
2024.0;Programme;Gestion des finances publiques;156.0;Gestion fiscale et financière de l'État et du secteur public local;P156-1;Améliorer l'efficacité de la lutte contre la fraude fiscale et du traitement des dépenses publiques et contribuer à l'accessibilité et à la clarté de la norme fiscale;5790.0;P156-1-3;Délais de production de la doctrine fiscale opposable à l'administration;Citoyen;30771.0;Pourcentage des textes réglementaires publiés dans le délai de 6 mois après l’entrée en vigueur du texte auquel ils se rattachent;;%;80.0;78.0;amélioration;
2024.0;Programme;Culture;131.0;Création;P131-3;Augmenter la fréquentation du public dans les lieux culturels sur l'ensemble du territoire;1640.0;P131-3-1;Fréquentation des lieux subventionnés;Citoyen;16493.0;Arts visuels : Part du public scolaire dans la fréquentation totale des lieux subventionnés;;%;15.0;14.23;amélioration;
