Année;Type de secteur;Mission;Code Programme;Programme;Code Externe Objectif;Libellé Objectif;Ordre Ind;Code Externe Indicateur;Libellé Indicateur;Facteur de performance;Code Interne Sous Indicateur;Libellé Sous Indicateur;Cotation;Unité;Cible;Exécution;Atteinte de la cible;commentaire
2022.0;Programme;Prêts à des États étrangers;851.0;Prêts du Trésor à des États étrangers en vue de faciliter la vente de biens et de services concourant au développement du commerce extérieur de la France;P851-2;Engager au moins 55 % de financements climat chaque année;9240.0;P851-2-1;Pourcentage de projets engagés qui répondent à un objectif climatique (atténuation et/ou adaptation au changement climatique) au sens des marqueurs de Rio (en % des engagements totaux hors projets militaires);Citoyen;30510.0;Pourcentage de projets engagés qui répondent à un objectif climatique (atténuation et/ou adaptation au changement climatique) au sens des marqueurs de Rio (en % des engagements totaux hors projets militaires);NS;%;55.0;73.0;cible atteinte;
2022.0;Programme;Engagements financiers de l'État;344.0;Fonds de soutien relatif aux prêts et contrats financiers structurés à risque;P344-1;Assurer un versement efficient des aides aux collectivités territoriales,  groupements, établissements publics locaux et services départementaux d'incendie et de secours dans le cadre de la sortie des emprunts à risque;3160.0;P344-1-1;Part (en nombre) des rejets de virement;Contribuable;23974.0;Pourcentage des rejets de virement lors de la mise en paiement par l’Agence de Services et de Paiement de l’ensemble des aides;NS;%;0.0;0.0;donnée non renseignée;
2023.0;Mission;Défense;;;MDA-2;Mettre à la disposition des armées les armements et matériels nécessaires au succès des opérations des forces armées;1770.0;MDA-2-1;Taux de réalisation des équipements;Citoyen;16059.0;dont progression dans la réalisation des opérations d'armement principales du système de forces projection- mobilité- soutien;;%;80.0;59.0;amélioration;
2024.0;Mission;Administration générale et territoriale de l'État;;;MAB-3;Accompagner les missions liées à l'entrée et au séjour des étrangers en France dans un contexte de dématérialisation des procédures;101.0;MAB-3-2;Délai d'enregistrement des demandes d'asile au guichet unique des demandeurs d'asile (GUDA);Usager;30966.0;Délai d'enregistrement des demandes d'asile au guichet unique des demandeurs d'asile (GUDA);;Nb jours;3.0;2.7;cible atteinte;
2023.0;Programme;Investir pour la France de 2030;425.0;Financement structurel des écosystèmes d'innovation;P425-2;Soutenir l'émergence et le développement des start-ups et nouveaux sites industriels;100.0;P425-2-2;Écart entre la croissance des entreprises aidées par Bpifrance financement et celle des entreprises comparables;Citoyen;30505.0;Écart entre le taux de croissance à 3 ans du CA des entreprises soutenues par les aides à l'innovation de Bpifrance Financement et celui des entreprises similaires;;points;;;cible atteinte;
2022.0;Programme;Avances à l'audiovisuel public;842.0;ARTE France;P842-3;Assurer la maîtrise de la masse salariale, optimiser la gestion et être une entreprise de média exemplaire;7960.0;P842-3-1;Maîtrise des charges;Contribuable;10379.0;Charges de personnel;NS;M€;21.7;20.8;cible atteinte;
2024.0;Programme;Recherche et enseignement supérieur;150.0;Formations supérieures et recherche universitaire;P150-3;Produire des connaissances scientifiques au meilleur niveau international;5030.0;P150-3-1;Production scientifique des opérateurs du programme;Citoyen;3198.0;Part des publications de référence internationale des opérateurs du programme dans la production scientifique du monde;;%;1.5;;absence amélioration;
2022.0;Programme;Avances aux collectivités territoriales;833.0;Avances sur le montant des impositions revenant aux régions, départements, communes, établissements et divers organismes;P833-1;Mettre les avances sur contributions directes locales à disposition des collectivités territoriales à une date certaine;8220.0;P833-1-1;Taux de versement des avances aux collectivités sur contributions directes locales;Usager;8121.0;Taux de versement des avances aux collectivités sur contributions directes locales;NS;%;100.0;98.46;amélioration;
2024.0;Programme;Contrôle de la circulation et du stationnement routiers;753.0;Contrôle et modernisation de la politique de la circulation et du stationnement routiers;P753-1;Assurer l'efficacité du procès-verbal électronique au sein des services de l'Etat;7500.0;P753-1-1;Taux de transformation des infractions relevées par les dispositifs de verbalisation électronique de l’Etat en avis de contravention;Citoyen;19612.0;Taux de transformation des infractions relevées par les dispositifs de verbalisation électronique de l’Etat en avis de contravention;;%;96.0;98.2;cible atteinte;
2023.0;Programme;Culture;175.0;Patrimoines;P175-3;Elargir les sources d'enrichissement des patrimoines publics;1590.0;P175-3-1;Effet de levier de la participation financière de l’État dans les travaux de restauration des monuments historiques qui ne lui appartiennent pas;Contribuable;3585.0;Montant des crédits des partenaires sur travaux MH / Montant des subventions versées par l'État;;ratio;;2.4;cible atteinte;
2022.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-2;Renforcer l'activité des services pour mieux combattre la délinquance;6200.0;P152-2-3;Généralisation de la police technique et scientifique;Citoyen;13009.0;Taux de signalisation biologique des personnes mises en cause au Fichier National d’Analyse des Empreintes Génétiques (FNAEG);NS;%;;72.19;absence amélioration;
2023.0;Programme;Administration générale et territoriale de l'État;232.0;Vie politique;P232-1;Optimiser les délais de remboursement des candidats;100.0;P232-1-1;Délai moyen du remboursement de la propagande électorale;Citoyen;31245.0;Départementales - Délai moyen du remboursement de la propagande électorale;;jours;;;donnée non retenue;
2023.0;Programme;Gestion des finances publiques;302.0;Facilitation et sécurisation des échanges;P302-3;Faire de la douane une administration moderne et innovante;100.0;P302-3-1;Faire de la donnée un outil central de la douane;Citoyen;30356.0;Part des prescriptions de contrôle du SARC (partie dédouanement) issue de la science des données;;%;25.0;31.4;cible atteinte;
2023.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-4;Renforcer l'efficacité dans la lutte contre l'insécurité routière;6260.0;P152-4-1;Accidentologie, infractions et dépistages liés à l’alcoolémie;Citoyen;30761.0;Nombre d'infractions routières liées à l'alcoolémie;;Nb;;123308.0;absence amélioration;
2024.0;Programme;Engagements financiers de l'État;117.0;Charge de la dette et trésorerie de l'État (crédits évaluatifs);P117-4;Obtenir un niveau de contrôle des risques de qualité constante et qui minimise la survenance d'incidents;3060.0;P117-4-2;Incidents d'exécution des opérations de dette et de trésorerie;Citoyen;2612.0;Incidents qui améliorent le solde du compte à la Banque de France;;Nb;0.0;5.0;absence amélioration;
2023.0;Programme;Direction de l'action du Gouvernement;308.0;Protection des droits et libertés;P308-1;Défendre et protéger efficacement les droits et les libertés;2250.0;P308-1-3;Délai moyen d'instruction des dossiers;Usager;18145.0;Délai de réponse aux saisines (CGLPL);;jours;60.0;52.0;cible atteinte;
2022.0;Programme;Solidarité, insertion et égalité des chances;304.0;Inclusion sociale et protection des personnes;P304-2;Inciter à l'activité et au maintien dans l'emploi;6410.0;P304-2-1;Part des foyers allocataires du RSA en reprise d'activité qui accèdent à la prime d'activité et se maintiennent dans l'emploi;Citoyen;21894.0;Part des couples allocataires du RSA sans emploi dont au moins un des membres accédant à la prime d’activité est une femme;NS;%;31.0;31.6;cible atteinte;
2023.0;Programme;Recherche et enseignement supérieur;192.0;Recherche et enseignement supérieur en matière économique et industrielle;P192-1;Optimiser la valorisation de la recherche et développer l'efficience des formations des écoles du programme;5450.0;P192-1-1;Part du montant des contrats de recherche et des partenariats rapporté à l'ensemble des ressources consacrées à la recherche;Contribuable;7991.0;Part du montant des contrats de recherche et des partenariats rapporté à l’ensemble des ressources consacrées à la recherche;;%;38.0;42.0;cible atteinte;
2023.0;Mission;Cohésion des territoires;;;MVA-1;Aider les ménages modestes à faire face à leurs dépenses de logement;930.0;MVA-1-1;Taux d'effort net médian des ménages en locatif ordinaire ou en accession selon la configuration familiale et le type de parc;Citoyen;23399.0;Locatif privé;;%;28.8;25.8;cible atteinte;
2022.0;Programme;Sécurités;152.0;Gendarmerie nationale;P152-2;Renforcer l'activité des services pour mieux combattre la délinquance;6180.0;P152-2-1;Taux d'élucidation ciblés;Citoyen;21788.0;Taux d'élucidation des homicides;NS;%;;85.2;cible atteinte;
2022.0;Programme;Avances à l'audiovisuel public;842.0;ARTE France;P842-3;Assurer la maîtrise de la masse salariale, optimiser la gestion et être une entreprise de média exemplaire;8960.0;P842-3-2;Index égalité femmes-hommes;Contribuable;30699.0;Résultat de l'index égalité femmes-hommes;NS;ratio;;99.0;cible atteinte;
2022.0;Programme;Écologie, développement et mobilité durables;174.0;Énergie, climat et après-mines;P174-3;Réduire les émissions de gaz à effet de serre;2410.0;P174-3-1;Emissions de gaz à effet de serre par habitant;Citoyen;23560.0;Emissions de gaz à effet de serre par habitant;NS;tCO2eq/hab;5.52;;donnée non renseignée;
2024.0;Programme;Action extérieure de l'État;185.0;Diplomatie culturelle et d'influence;P185-1;Renforcer l'influence culturelle, linguistique et éducative de la France;195.0;P185-1-3;Enseignement français et coopération éducative;Usager;30033.0;Nombre de professeurs formés par le réseau dans les systèmes éducatifs locaux;;Nb;56000.0;43055.0;absence amélioration;
