nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Dépenses de fonctionnement;73.61266202709001;0.75316631754;1.2102660661999998;;
Dépenses d’investissement;39.61489088690001;0.283184554;0.22926901090000001;;
Dépenses d’intervention;267.73954528523996;0.00346672997;2.55737403234;;
Dépenses de personnel;156.19083561046006;1.4521072975;68.08462630429;;
Charges de la dette de l’État;51.583045855589994;0.0149343;;;
Dépenses d’opérations financières;1.4732720586;;3.43502458;140.954890012;
Dotations des pouvoirs publics;1.1378427038099999;;;;
