nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Dépenses de fonctionnement;74.32961588418003;0.75776821;1.1909637936;;
Dépenses d’investissement;22.194568763600003;0.2139900099;0.161238219;;
Dépenses d’intervention;271.58478696854996;0.0034527299700000003;2.54603305483;;
Dépenses de personnel;156.19080667046006;1.4521072975;68.08462630429;;
Charges de la dette de l’État;51.58304509409;0.0149343;;;
Dépenses d’opérations financières;1.0259639669;;3.39804068;142.045512012;
Dotations des pouvoirs publics;1.1378427038099999;;;;
