nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Dépenses de fonctionnement;71.550571953;0.67462861;1.04854476;;
Dépenses d’intervention;274.228594942;0.004461;2.455099626;;
Dépenses d’investissement;21.719951397;0.30414759;0.29375;;
Dépenses de personnel;153.542193499;1.4074023;66.29241364;;
Dépenses d’opérations financières;7.670005827;;9.86195;149.1126022;
Charges de la dette de l’État;52.182;0.0239752;;;
Dotations des pouvoirs publics;1.1378427;;;;
