nom;Budget général;Budgets annexes;Comptes d'affectation spéciale;Comptes de concours financiers;
Dépenses de fonctionnement;74.775861954;0.70234767;1.05254476;;
Dépenses d’intervention;270.991346878;0.004431;2.455099626;;
Dépenses d’investissement;33.61326072;0.47220832;0.28975;;
Dépenses de personnel;153.542193499;1.4074023;66.29241364;;
Dépenses d’opérations financières;0.378061687;;9.86195;149.1223992;
Charges de la dette de l’État;52.182;0.0239752;;;
Dotations des pouvoirs publics;1.1378427;;;;
