Mission;Programme;Titre;LFI;LFR;Report_N-1;Mvts_reglementaires;FDC_et_ADP;Fongibilite_asymetrique;Total_CP_Ouverts;Depenses_constatees;Modif_Ouvertures;Modif_Annulations;Report_N+1
Enseignement scolaire;Enseignement scolaire public du premier degré - 140;Autres titres - Autres dépenses;99570417;-45172757;52595142;-10762476;8544922,25;6782194,21;111557442,46;95117591,62;0;13807071,84;2632779
Enseignement scolaire;Enseignement scolaire public du second degré - 141;Titre 2 - Dépenses de personnel;37957464193;-200074096;2549039;32578123;2209462,36;-1177517,96;37793549203,4;37788687428,99;0;745392,41;4116382
Enseignement scolaire;Enseignement scolaire public du second degré - 141;Autres titres - Autres dépenses;467147576;-50204058;35701678;5211378;9343293,36;1177517,96;468377385,32;458600693,93;0;3444022,39;6332669
Enseignement scolaire;Enseignement technique agricole - 143;Titre 2 - Dépenses de personnel;1114764225;-29970452;0;37401500;0;-25529301,08;1096665971,92;1091364894,05;0;5301077,87;0
Enseignement scolaire;Enseignement technique agricole - 143;Autres titres - Autres dépenses;580904201;-17396851;3776000;773731;0;25529301,08;593586382,08;590253936,61;0;3332445,47;0
Enseignement scolaire;Soutien de la politique de l'éducation nationale - 214;Titre 2 - Dépenses de personnel;2030419956;33536949;678775;13078429;488884,27;-3597780,03;2074605213,24;2073420720,07;0;324528,17;859965
Enseignement scolaire;Soutien de la politique de l'éducation nationale - 214;Autres titres - Autres dépenses;843364837;-60601210;26568705;29221709;15624906,62;3597780,03;857776727,65;836372177,54;0;7463481,11;13941069
Enseignement scolaire;Vie de l'élève - 230;Titre 2 - Dépenses de personnel;4734342900;119864281;40000;19562171;0;-145120;4873664232;4873261932,71;0;362486,29;39813
Enseignement scolaire;Vie de l'élève - 230;Autres titres - Autres dépenses;3364679022;-323478580;14256806;7876930;1905374,26;145120;3065384672,26;3060611947,58;0;1804124,68;2968600
Gestion des finances publiques;Conduite et pilotage des politiques économiques et financières - 218;Titre 2 - Dépenses de personnel;529654750;-13133888;936138;2218087;1120769,53;0;520795856,53;520103472,99;0;583737,54;108646
Gestion des finances publiques;Conduite et pilotage des politiques économiques et financières - 218;Autres titres - Autres dépenses;525106417;-111469379;38735624;-1338472;6831754,96;0;457865944,96;443053908,27;0;0,69;14812036
Gestion des finances publiques;Facilitation et sécurisation des échanges - 302;Titre 2 - Dépenses de personnel;1329379114;-8695775;0;7709328;0;-2433360;1325959307;1322488508,63;0;3470798,37;0
Gestion des finances publiques;Facilitation et sécurisation des échanges - 302;Autres titres - Autres dépenses;377575462;-19389240;19094837;-3635822;7254614,15;2433360;383333211,15;350305694,34;0;15363689,81;17663827
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 2 - Dépenses de personnel;6903431646;-54802379;10697446;-4923623;0;-95700000;6758703090;6743634867,71;0;4370776,29;10697446
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Autres titres - Autres dépenses;1234692294;-122577697;61728321;-9281677;22471239,79;95700000;1282732480,79;1215561781,55;0;34652405,24;32518294
Immigration, asile et intégration;Immigration et asile - 303;Autres titres - Autres dépenses;1725143750;-50090197;171982327;2348460;59874640,18;0;1909258980,18;1835599035,85;0;6459579,33;67200365
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Autres titres - Autres dépenses;431358922;-77289495;12998324;2152364;-8836054,82;0;360384060,18;355125698,99;0;4753968,19;504393
Investir pour la France de 2030;Accélération de la modernisation des entreprises - 423;Autres titres - Autres dépenses;14260000;-90784300;0;0;0;0;-76524300;-76524300;0;0;0
Investir pour la France de 2030;Financement des investissements stratégiques - 424;Autres titres - Autres dépenses;5691750000;-922204551;8189975;-107885000;0;0;4669850424;4642993396,09;0;26857027,91;0
Investir pour la France de 2030;Financement structurel des écosystèmes d'innovation - 425;Autres titres - Autres dépenses;1652500000;-272714920;0;0;0;0;1379785080;1379785080;0;0;0
Investir pour la France de 2030;Soutien des progrès de l'enseignement et de la recherche - 421;Autres titres - Autres dépenses;255000000;-14025000;0;0;0;0;240975000;240975000;0;0;0
Investir pour la France de 2030;Valorisation de la recherche - 422;Autres titres - Autres dépenses;88200000;-4851000;0;0;0;0;83349000;83349000;0;0;0
Justice;Accès au droit et à la justice - 101;Autres titres - Autres dépenses;736234297;-7357635;486;-1887339;24358,56;0;727014167,56;726970553,58;0;38143,98;5470
Justice;Administration pénitentiaire - 107;Titre 2 - Dépenses de personnel;3225380273;-22102082;0;2990331;0;-341563;3205926959;3182342801,45;0;23584157,55;0
Justice;Administration pénitentiaire - 107;Autres titres - Autres dépenses;1777570541;-105312425;89372304;-591988;2675081,67;341563;1764055076,67;1762430827,71;0;182873,96;1441375
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 2 - Dépenses de personnel;245737534;-8193438;0;-777508;0;-140000;236626588;234750309,64;0;1876278,36;0
Justice;Conduite et pilotage de la politique de la justice - 310;Autres titres - Autres dépenses;501347713;-39486439;560976;-11049727;4391155,83;140000;455903678,83;452732086,96;0;5978,87;3165613
Justice;Conseil supérieur de la magistrature - 335;Titre 2 - Dépenses de personnel;3275506;-98032;0;5000;0;0;3182474;3177122,15;0;5351,85;0
Justice;Conseil supérieur de la magistrature - 335;Autres titres - Autres dépenses;2445316;-199068;93397;0;0;0;2339645;2098152,69;0;241492,31;0
Justice;Justice judiciaire - 166;Titre 2 - Dépenses de personnel;2986657137;-30661183;0;-3033000;0;-1870853,8;2951092100,2;2940695828,08;0;10396272,12;0
Justice;Justice judiciaire - 166;Autres titres - Autres dépenses;1557351108;-124418087;1759240;-6535998;7142926,93;1870853,8;1437170043,73;1434179256,38;0;312611,35;2678176
Justice;Protection judiciaire de la jeunesse - 182;Titre 2 - Dépenses de personnel;670006160;-3655690;0;-568937;0;0;665781533;664759902,82;0;1021630,18;0
Justice;Protection judiciaire de la jeunesse - 182;Autres titres - Autres dépenses;455941180;-47425604;13551838;107493;769998,65;0;422944905,65;422635746,65;0;245409;63750
Médias, livre et industries culturelles;Livre et industries culturelles - 334;Autres titres - Autres dépenses;359282643;-4232450;388413;-7135652;0;0;348302954;347761184,41;0;541769,59;0
Médias, livre et industries culturelles;Presse et médias - 180;Autres titres - Autres dépenses;376665279;-16002841;11130278;-5183305;0;0;366609411;363778735,71;0;2830675,29;0
Outre-Mer;Conditions de vie Outre-Mer - 123;Autres titres - Autres dépenses;919773972;-67876808;82987508;10343309;12634798,57;0;957862779,57;937609797,79;0;413440,78;19839541
Outre-Mer;Emploi Outre-Mer - 138;Titre 2 - Dépenses de personnel;210822902;-5151075;0;0;0;-2660454;203011373;200532000,66;0;2479372,34;0
Outre-Mer;Emploi Outre-Mer - 138;Autres titres - Autres dépenses;1673867117;26231693;69768061;-2316142;56735138,86;2660454;1826946321,86;1778852334,23;0;18276,63;48075711
Plan de relance;Cohésion - 364;Autres titres - Autres dépenses;178900000;-150000000;868805911;-171256045;0;0;726449866;82627909,04;0;0,96;643821956
Plan de relance;Compétitivité - 363;Autres titres - Autres dépenses;65985600;0;1490098196;0;0;0;1556083796;386787407,21;0;0;1169296388,79
Plan de relance;Écologie - 362;Autres titres - Autres dépenses;1169075442;0;3335449776;-208126079;0;0;4296399139;1766238849,67;0;0,33;2530160289
Pouvoirs publics;Assemblée nationale - 511;Autres titres - Autres dépenses;607647569;19534273;0;0;0;0;627181842;627181842;0;0;0
Pouvoirs publics;Conseil constitutionnel - 531;Autres titres - Autres dépenses;17930000;0;0;0;0;0;17930000;17930000;0;0;0
Pouvoirs publics;Cour de justice de la République - 533;Autres titres - Autres dépenses;984000;0;0;0;0;0;984000;984000;0;0;0
Pouvoirs publics;La Chaîne parlementaire - 541;Autres titres - Autres dépenses;35245822;0;0;0;0;0;35245822;35245822;0;0;0
Pouvoirs publics;Présidence de la République - 501;Autres titres - Autres dépenses;122563852;0;0;0;0;0;122563852;122563852;0;0;0
Pouvoirs publics;Sénat - 521;Autres titres - Autres dépenses;353470900;0;0;0;0;0;353470900;353470900;0;0;0
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 2 - Dépenses de personnel;266389570;-9265039;0;-3900000;0;0;253224531;252074993,69;0;1149537,31;0
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Autres titres - Autres dépenses;176618434;-13120659;0;5500854;0;0;168998629;168998623,36;0;5,64;0
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 2 - Dépenses de personnel;431823270;-225448;0;-3433486;0;0;428164336;424797963,23;0;3366372,77;0
