Mission;Programme;Titre;Categorie;Depenses
Gestion des finances publiques;Facilitation et sécurisation des échanges - 302;Titre 3;32;75,25
Gestion des finances publiques;Facilitation et sécurisation des échanges - 302;Titre 5;51;27069250,95
Gestion des finances publiques;Facilitation et sécurisation des échanges - 302;Titre 5;52;15662802,57
Gestion des finances publiques;Facilitation et sécurisation des échanges - 302;Titre 6;61;3549772,9
Gestion des finances publiques;Facilitation et sécurisation des échanges - 302;Titre 6;62;39352609,68
Gestion des finances publiques;Facilitation et sécurisation des échanges - 302;Titre 6;64;5871322,44
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 2;21;4104154272,14
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 2;22;2585882891,18
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 2;23;53597704,39
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 3;31;1081415564,99
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 3;32;-5180,87
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 5;51;67041055,12
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 5;52;66567329,89
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 6;61;16343,02
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 6;63;10000
Gestion des finances publiques;Gestion fiscale et financière de l'État et du secteur public local - 156;Titre 6;64;516669,4
Immigration, asile et intégration;Immigration et asile - 303;Titre 3;31;214177329,98
Immigration, asile et intégration;Immigration et asile - 303;Titre 3;32;107498453,88
Immigration, asile et intégration;Immigration et asile - 303;Titre 5;51;15500385,93
Immigration, asile et intégration;Immigration et asile - 303;Titre 5;52;14266177,25
Immigration, asile et intégration;Immigration et asile - 303;Titre 5;53;2139406
Immigration, asile et intégration;Immigration et asile - 303;Titre 6;61;368246008,87
Immigration, asile et intégration;Immigration et asile - 303;Titre 6;62;134026944,5
Immigration, asile et intégration;Immigration et asile - 303;Titre 6;63;3858689,23
Immigration, asile et intégration;Immigration et asile - 303;Titre 6;64;975885640,21
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 3;31;49866042,54
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 3;32;221287838
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 5;51;23220,75
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 5;52;619405,48
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 5;53;9450000
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 6;61;17568708,99
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 6;62;1747356,69
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 6;63;11681877,08
Immigration, asile et intégration;Intégration et accès à la nationalité française - 104;Titre 6;64;42881249,46
Investir pour la France de 2030;Accélération de la modernisation des entreprises - 423;Titre 6;62;16000000
Investir pour la France de 2030;Accélération de la modernisation des entreprises - 423;Titre 6;64;4600000
Investir pour la France de 2030;Accélération de la modernisation des entreprises - 423;Titre 7;71;-97124300
Investir pour la France de 2030;Financement des investissements stratégiques - 424;Titre 3;31;212214237,78
Investir pour la France de 2030;Financement des investissements stratégiques - 424;Titre 5;52;216352,08
Investir pour la France de 2030;Financement des investissements stratégiques - 424;Titre 6;62;3611944551,94
Investir pour la France de 2030;Financement des investissements stratégiques - 424;Titre 6;63;3938780,96
Investir pour la France de 2030;Financement des investissements stratégiques - 424;Titre 6;64;814679473,33
Investir pour la France de 2030;Financement structurel des écosystèmes d'innovation - 425;Titre 3;31;705000000
Investir pour la France de 2030;Financement structurel des écosystèmes d'innovation - 425;Titre 6;62;552785080
Investir pour la France de 2030;Financement structurel des écosystèmes d'innovation - 425;Titre 6;64;182000000
Investir pour la France de 2030;Financement structurel des écosystèmes d'innovation - 425;Titre 7;71;-60000000
Investir pour la France de 2030;Soutien des progrès de l'enseignement et de la recherche - 421;Titre 6;64;240975000
Investir pour la France de 2030;Valorisation de la recherche - 422;Titre 3;31;50000000
Investir pour la France de 2030;Valorisation de la recherche - 422;Titre 6;62;25000000
Investir pour la France de 2030;Valorisation de la recherche - 422;Titre 6;64;8349000
Justice;Accès au droit et à la justice - 101;Titre 3;31;9770762,77
Justice;Accès au droit et à la justice - 101;Titre 3;32;141289
Justice;Accès au droit et à la justice - 101;Titre 6;61;657104011,91
Justice;Accès au droit et à la justice - 101;Titre 6;63;99807
Justice;Accès au droit et à la justice - 101;Titre 6;64;59854682,9
Justice;Administration pénitentiaire - 107;Titre 2;21;1899810583,46
Justice;Administration pénitentiaire - 107;Titre 2;22;1258355642,03
Justice;Administration pénitentiaire - 107;Titre 2;23;24176575,96
Justice;Administration pénitentiaire - 107;Titre 3;31;1226220034,44
Justice;Administration pénitentiaire - 107;Titre 3;32;36822964,78
Justice;Administration pénitentiaire - 107;Titre 5;51;478273155,63
Justice;Administration pénitentiaire - 107;Titre 5;52;2572976,18
Justice;Administration pénitentiaire - 107;Titre 6;61;6353882,28
Justice;Administration pénitentiaire - 107;Titre 6;62;1862606,08
Justice;Administration pénitentiaire - 107;Titre 6;63;8500
Justice;Administration pénitentiaire - 107;Titre 6;64;10316708,32
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 2;21;156363900,96
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 2;22;73716701,66
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 2;23;4669707,02
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 3;31;376465512,27
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 3;32;29684970
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 5;51;10767176,29
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 5;52;31249976,89
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 5;53;668587
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 6;62;278812,22
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 6;64;3416239,29
Justice;Conduite et pilotage de la politique de la justice - 310;Titre 7;72;200813
Justice;Conseil supérieur de la magistrature - 335;Titre 2;21;2454867,91
Justice;Conseil supérieur de la magistrature - 335;Titre 2;22;704469,87
Justice;Conseil supérieur de la magistrature - 335;Titre 2;23;17784,37
Justice;Conseil supérieur de la magistrature - 335;Titre 3;31;2098152,69
Justice;Justice judiciaire - 166;Titre 2;21;1878330905,4
Justice;Justice judiciaire - 166;Titre 2;22;1041465980,97
Justice;Justice judiciaire - 166;Titre 2;23;20898941,71
Justice;Justice judiciaire - 166;Titre 3;31;1154365827,19
Justice;Justice judiciaire - 166;Titre 3;32;45763380
Justice;Justice judiciaire - 166;Titre 5;51;187033714,99
Justice;Justice judiciaire - 166;Titre 5;52;3428607,7
Justice;Justice judiciaire - 166;Titre 6;63;307579,74
Justice;Justice judiciaire - 166;Titre 6;64;43280146,76
Justice;Protection judiciaire de la jeunesse - 182;Titre 2;21;412367856,16
Justice;Protection judiciaire de la jeunesse - 182;Titre 2;22;242608381,17
Justice;Protection judiciaire de la jeunesse - 182;Titre 2;23;9783665,49
Justice;Protection judiciaire de la jeunesse - 182;Titre 3;31;112207524,9
Justice;Protection judiciaire de la jeunesse - 182;Titre 5;51;20858740,68
Justice;Protection judiciaire de la jeunesse - 182;Titre 5;52;464677,92
Justice;Protection judiciaire de la jeunesse - 182;Titre 6;61;6396877,67
Justice;Protection judiciaire de la jeunesse - 182;Titre 6;63;415405
Justice;Protection judiciaire de la jeunesse - 182;Titre 6;64;282292520,48
Médias, livre et industries culturelles;Livre et industries culturelles - 334;Titre 3;31;10811511,82
Médias, livre et industries culturelles;Livre et industries culturelles - 334;Titre 3;32;275460178
Médias, livre et industries culturelles;Livre et industries culturelles - 334;Titre 5;51;1290000
Médias, livre et industries culturelles;Livre et industries culturelles - 334;Titre 5;53;37826438
Médias, livre et industries culturelles;Livre et industries culturelles - 334;Titre 6;62;3678877,72
Médias, livre et industries culturelles;Livre et industries culturelles - 334;Titre 6;63;1360577
Médias, livre et industries culturelles;Livre et industries culturelles - 334;Titre 6;64;17333601,87
Médias, livre et industries culturelles;Presse et médias - 180;Titre 3;31;23658383,77
Médias, livre et industries culturelles;Presse et médias - 180;Titre 6;61;499000
Médias, livre et industries culturelles;Presse et médias - 180;Titre 6;62;298274878,14
Médias, livre et industries culturelles;Presse et médias - 180;Titre 6;64;41346473,8
Outre-Mer;Conditions de vie Outre-Mer - 123;Titre 3;31;31411447,94
Outre-Mer;Conditions de vie Outre-Mer - 123;Titre 3;32;490859,1
Outre-Mer;Conditions de vie Outre-Mer - 123;Titre 5;51;2590412,69
Outre-Mer;Conditions de vie Outre-Mer - 123;Titre 6;61;78917272,11
Outre-Mer;Conditions de vie Outre-Mer - 123;Titre 6;62;260701567,46
Outre-Mer;Conditions de vie Outre-Mer - 123;Titre 6;63;527520113,66
Outre-Mer;Conditions de vie Outre-Mer - 123;Titre 6;64;35978124,83
Outre-Mer;Emploi Outre-Mer - 138;Titre 2;21;126961891,01
Outre-Mer;Emploi Outre-Mer - 138;Titre 2;22;70867175,26
Outre-Mer;Emploi Outre-Mer - 138;Titre 2;23;2702934,39
Outre-Mer;Emploi Outre-Mer - 138;Titre 3;31;80086328,27
Outre-Mer;Emploi Outre-Mer - 138;Titre 3;32;12170550
Outre-Mer;Emploi Outre-Mer - 138;Titre 5;51;26081474,89
Outre-Mer;Emploi Outre-Mer - 138;Titre 6;61;8015009,04
Outre-Mer;Emploi Outre-Mer - 138;Titre 6;62;1614781373,61
Outre-Mer;Emploi Outre-Mer - 138;Titre 6;63;27168423,91
Outre-Mer;Emploi Outre-Mer - 138;Titre 6;64;10549174,51
Plan de relance;Cohésion - 364;Titre 3;31;518130
Plan de relance;Cohésion - 364;Titre 6;61;79777,5
Plan de relance;Cohésion - 364;Titre 6;62;-53304336,5
Plan de relance;Cohésion - 364;Titre 6;63;59509908,79
Plan de relance;Cohésion - 364;Titre 6;64;75824429,25
Plan de relance;Compétitivité - 363;Titre 3;31;61881013,5
Plan de relance;Compétitivité - 363;Titre 5;51;22002779,5
Plan de relance;Compétitivité - 363;Titre 5;52;10658904,69
Plan de relance;Compétitivité - 363;Titre 6;61;45725,04
Plan de relance;Compétitivité - 363;Titre 6;62;257449983,31
Plan de relance;Compétitivité - 363;Titre 6;63;23590049,71
Plan de relance;Compétitivité - 363;Titre 6;64;11158951,46
Plan de relance;Écologie - 362;Titre 3;31;33831507,95
Plan de relance;Écologie - 362;Titre 3;32;175889,14
Plan de relance;Écologie - 362;Titre 5;51;184258611,06
Plan de relance;Écologie - 362;Titre 6;61;-38260000
Plan de relance;Écologie - 362;Titre 6;62;706353196,27
Plan de relance;Écologie - 362;Titre 6;63;377638502,96
Plan de relance;Écologie - 362;Titre 6;64;412441271,5
Plan de relance;Écologie - 362;Titre 7;72;89799870,79
Pouvoirs publics;Assemblée nationale - 511;Titre 1;10;627181842
Pouvoirs publics;Conseil constitutionnel - 531;Titre 1;10;17930000
Pouvoirs publics;Cour de justice de la République - 533;Titre 1;10;984000
Pouvoirs publics;La Chaîne parlementaire - 541;Titre 1;10;35245822
Pouvoirs publics;Présidence de la République - 501;Titre 1;10;122563852
Pouvoirs publics;Sénat - 521;Titre 1;10;353470900
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 2;21;148826187,93
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 2;22;101358479,9
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 2;23;1890325,86
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 3;31;522584,71
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 3;32;80194325
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 5;53;16493085
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 6;61;30643368,61
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 6;64;37746218
Recherche et enseignement supérieur;Enseignement supérieur et recherche agricoles - 142;Titre 7;72;3399042,04
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 2;21;252920902,48
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 2;22;167217851,82
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 2;23;4659208,93
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 3;31;23038810,07
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 3;32;14236824404
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 5;51;48629887,63
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 5;53;129470416,21
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 6;61;335814,73
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 6;62;3831250
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 6;63;4525254,32
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 6;64;155175208,66
Recherche et enseignement supérieur;Formations supérieures et recherche universitaire - 150;Titre 7;72;81596728,56
Recherche et enseignement supérieur;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables - 190;Titre 3;31;-3469281,84
Recherche et enseignement supérieur;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables - 190;Titre 3;32;1821217576
Recherche et enseignement supérieur;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables - 190;Titre 6;62;199191145,73
Recherche et enseignement supérieur;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables - 190;Titre 6;64;5369412,62
Recherche et enseignement supérieur;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables - 190;Titre 7;71;1516633,5
Recherche et enseignement supérieur;Recherche dans les domaines de l'énergie, du développement et de la mobilité durables - 190;Titre 7;72;15331116
Recherche et enseignement supérieur;Recherche duale (civile et militaire) - 191;Titre 3;32;137249053
Recherche et enseignement supérieur;Recherche duale (civile et militaire) - 191;Titre 5;53;11857050
Recherche et enseignement supérieur;Recherche duale (civile et militaire) - 191;Titre 7;72;913064
Recherche et enseignement supérieur;Recherche et enseignement supérieur en matière économique et industrielle - 192;Titre 3;31;35171,19
Recherche et enseignement supérieur;Recherche et enseignement supérieur en matière économique et industrielle - 192;Titre 3;32;350129705
Recherche et enseignement supérieur;Recherche et enseignement supérieur en matière économique et industrielle - 192;Titre 5;53;6120678
Recherche et enseignement supérieur;Recherche et enseignement supérieur en matière économique et industrielle - 192;Titre 6;61;8047875
Recherche et enseignement supérieur;Recherche et enseignement supérieur en matière économique et industrielle - 192;Titre 6;62;299946285,06
Recherche et enseignement supérieur;Recherche et enseignement supérieur en matière économique et industrielle - 192;Titre 6;64;5386562,73
Recherche et enseignement supérieur;Recherche spatiale - 193;Titre 3;32;651457157,24
Recherche et enseignement supérieur;Recherche spatiale - 193;Titre 5;53;72600527
Recherche et enseignement supérieur;Recherche spatiale - 193;Titre 6;64;883221856,28
Recherche et enseignement supérieur;Recherche spatiale - 193;Titre 7;72;0,48
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 3;31;28887578,48
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 3;32;6019698961,7
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 5;51;726062
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 5;53;63888936,2
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 6;61;985240
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 6;62;80458489,91
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 6;63;6288462,85
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 6;64;1512795714,66
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 7;72;19970940,43
Recherche et enseignement supérieur;Recherches scientifiques et technologiques pluridisciplinaires - 172;Titre 7;73;3000000
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 3;31;1968113,08
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 3;32;576952971,4
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 5;51;1244930,77
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 5;53;92720298
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 6;61;2544672648,47
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 6;62;6933408
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 6;63;909277,15
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 6;64;19110849
Recherche et enseignement supérieur;Vie étudiante - 231;Titre 7;72;9733564,3
Régimes sociaux et de retraite;Régimes de retraite des mines, de la SEITA et divers - 195;Titre 6;61;11906,28
Régimes sociaux et de retraite;Régimes de retraite des mines, de la SEITA et divers - 195;Titre 6;64;1082986100
Régimes sociaux et de retraite;Régimes de retraite et de sécurité sociale des marins - 197;Titre 3;32;12995065
Régimes sociaux et de retraite;Régimes de retraite et de sécurité sociale des marins - 197;Titre 6;64;761491058
Régimes sociaux et de retraite;Régimes sociaux et de retraite des transports terrestres - 198;Titre 6;64;4206133513,56
Relations avec les collectivités territoriales;Concours financiers aux collectivités territoriales et à leurs groupements - 119;Titre 6;62;18813347,17
Relations avec les collectivités territoriales;Concours financiers aux collectivités territoriales et à leurs groupements - 119;Titre 6;63;3608072652,39
Relations avec les collectivités territoriales;Concours financiers aux collectivités territoriales et à leurs groupements - 119;Titre 6;64;11137724,98
Relations avec les collectivités territoriales;Concours spécifiques et administration - 122;Titre 3;31;3225853,55
Relations avec les collectivités territoriales;Concours spécifiques et administration - 122;Titre 5;52;3864574,97
Relations avec les collectivités territoriales;Concours spécifiques et administration - 122;Titre 6;63;248035089,2
Relations avec les collectivités territoriales;Concours spécifiques et administration - 122;Titre 6;64;1523569,41
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs) - 200;Titre 2;21;1690
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs) - 200;Titre 3;31;3520004007,98
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs) - 200;Titre 6;61;29464358241,88
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs) - 200;Titre 6;62;107898090226,09
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts d'État (crédits évaluatifs) - 200;Titre 6;64;685876414,24
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs) - 201;Titre 3;31;53555126,2
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs) - 201;Titre 6;62;2219709,17
Remboursements et dégrèvements;Remboursements et dégrèvements d'impôts locaux (crédits évaluatifs) - 201;Titre 6;63;4899390574,47
Santé;Compensation à la Sécurité sociale du coût des dons de vaccins à des pays tiers et reversement des recettes de la Facilité pour la relance et la résilience (FRR) européenne au titre du volet «Ségur investissement» du plan national de relance et de résili - 379;Titre 6;64;1248900000
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Titre 2;21;1176500
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Titre 3;31;126961680,55
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Titre 3;32;70056960,6
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Titre 6;61;27609036
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Titre 6;62;4801590,55
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Titre 6;63;276353,15
Santé;Prévention, sécurité sanitaire et offre de soins - 204;Titre 6;64;156248975,16
Santé;Protection maladie - 183;Titre 6;61;1166740000
Sécurités;Gendarmerie nationale - 152;Titre 2;21;4611312701,58
Sécurités;Gendarmerie nationale - 152;Titre 2;22;4435676552,31
Sécurités;Gendarmerie nationale - 152;Titre 2;23;35988276,17
Sécurités;Gendarmerie nationale - 152;Titre 3;31;1718665659,76
Sécurités;Gendarmerie nationale - 152;Titre 3;32;60512,84
Sécurités;Gendarmerie nationale - 152;Titre 5;51;178890399,33
Sécurités;Gendarmerie nationale - 152;Titre 5;52;6665376,54
Sécurités;Gendarmerie nationale - 152;Titre 6;62;10000000
Sécurités;Gendarmerie nationale - 152;Titre 6;63;10271061,95
Sécurités;Gendarmerie nationale - 152;Titre 6;64;2336247,31
Sécurités;Police nationale - 176;Titre 2;21;7001911604,19
Sécurités;Police nationale - 176;Titre 2;22;4461985912,08
Sécurités;Police nationale - 176;Titre 2;23;64899626,33
Sécurités;Police nationale - 176;Titre 3;31;1518180902,28
Sécurités;Police nationale - 176;Titre 3;32;26128161,68
Sécurités;Police nationale - 176;Titre 5;51;300094392,87
Sécurités;Police nationale - 176;Titre 5;52;24440925,71
Sécurités;Police nationale - 176;Titre 6;62;3360343,11
Sécurités;Police nationale - 176;Titre 6;63;29000000,01
Sécurités;Police nationale - 176;Titre 6;64;12058258,85
Sécurités;Police nationale - 176;Titre 7;72;1180000
Sécurités;Sécurité civile - 161;Titre 2;21;129844569,81
Sécurités;Sécurité civile - 161;Titre 2;22;85399484,24
Sécurités;Sécurité civile - 161;Titre 2;23;818237,89
Sécurités;Sécurité civile - 161;Titre 3;31;313158444,04
Sécurités;Sécurité civile - 161;Titre 3;32;17375363,75
Sécurités;Sécurité civile - 161;Titre 5;51;173849114,68
Sécurités;Sécurité civile - 161;Titre 5;52;14612085,15
Sécurités;Sécurité civile - 161;Titre 5;53;3525763
Sécurités;Sécurité civile - 161;Titre 6;61;29257787,39
Sécurités;Sécurité civile - 161;Titre 6;62;45831,9
Sécurités;Sécurité civile - 161;Titre 6;63;113485407,97
Sécurités;Sécurité civile - 161;Titre 6;64;81244193,78
Sécurités;Sécurité et éducation routières - 207;Titre 3;31;52523775,51
Sécurités;Sécurité et éducation routières - 207;Titre 3;32;111850
Sécurités;Sécurité et éducation routières - 207;Titre 5;51;840227,38
Sécurités;Sécurité et éducation routières - 207;Titre 5;52;3544309,03
Sécurités;Sécurité et éducation routières - 207;Titre 6;61;4644554,01
Sécurités;Sécurité et éducation routières - 207;Titre 6;62;162711,97
Sécurités;Sécurité et éducation routières - 207;Titre 6;63;938527,66
Sécurités;Sécurité et éducation routières - 207;Titre 6;64;7312433,06
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 2;21;280031532,78
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 2;22;148368492,39
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 2;23;5464915,47
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 3;31;198215914,69
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 3;32;610227191,35
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 5;51;27281621,94
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 6;61;86010,6
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 6;62;200000
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 6;63;12633000
Solidarité, insertion et égalité des chances;Conduite et soutien des politiques sanitaires et sociales - 124;Titre 6;64;8658768,38
Solidarité, insertion et égalité des chances;Égalité entre les femmes et les hommes - 137;Titre 3;31;2078494,92
Solidarité, insertion et égalité des chances;Égalité entre les femmes et les hommes - 137;Titre 6;61;36700081,48
Solidarité, insertion et égalité des chances;Égalité entre les femmes et les hommes - 137;Titre 6;62;164609,8
Solidarité, insertion et égalité des chances;Égalité entre les femmes et les hommes - 137;Titre 6;63;914076
Solidarité, insertion et égalité des chances;Égalité entre les femmes et les hommes - 137;Titre 6;64;61203871,58
Solidarité, insertion et égalité des chances;Handicap et dépendance - 157;Titre 3;31;2708312,57
Solidarité, insertion et égalité des chances;Handicap et dépendance - 157;Titre 3;32;1233277
Solidarité, insertion et égalité des chances;Handicap et dépendance - 157;Titre 6;61;15250707189
Solidarité, insertion et égalité des chances;Handicap et dépendance - 157;Titre 6;63;52500
Solidarité, insertion et égalité des chances;Handicap et dépendance - 157;Titre 6;64;60673413
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Titre 2;21;1686220,94
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Titre 3;31;15090704,41
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Titre 3;32;33132843,71
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Titre 6;61;12677858873,16
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Titre 6;62;110641611,3
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Titre 6;63;463519120,75
Solidarité, insertion et égalité des chances;Inclusion sociale et protection des personnes - 304;Titre 6;64;1021335560,06
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 2;21;16270830,68
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 2;22;314584,04
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 2;23;16032,37
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 3;31;108756478,5
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 3;32;413728883
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 5;51;52598,48
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 6;61;-778990,52
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 6;62;1503394
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 6;63;18733870,43
Sport, jeunesse et vie associative;Jeunesse et vie associative - 163;Titre 6;64;213919911,43
Sport, jeunesse et vie associative;Jeux olympiques et paralympiques 2024 - 350;Titre 3;31;69859,5
Sport, jeunesse et vie associative;Jeux olympiques et paralympiques 2024 - 350;Titre 3;32;15026513
Sport, jeunesse et vie associative;Jeux olympiques et paralympiques 2024 - 350;Titre 5;51;13131755
Sport, jeunesse et vie associative;Jeux olympiques et paralympiques 2024 - 350;Titre 6;62;3837840
Sport, jeunesse et vie associative;Jeux olympiques et paralympiques 2024 - 350;Titre 6;63;21136858
Sport, jeunesse et vie associative;Jeux olympiques et paralympiques 2024 - 350;Titre 6;64;82892529
Sport, jeunesse et vie associative;Sport - 219;Titre 2;21;81071812,02
Sport, jeunesse et vie associative;Sport - 219;Titre 2;22;49430333,44
Sport, jeunesse et vie associative;Sport - 219;Titre 2;23;413253,98
Sport, jeunesse et vie associative;Sport - 219;Titre 3;31;34450786,69
Sport, jeunesse et vie associative;Sport - 219;Titre 3;32;55698477
Sport, jeunesse et vie associative;Sport - 219;Titre 5;51;4677374,17
Sport, jeunesse et vie associative;Sport - 219;Titre 5;53;4045376
Sport, jeunesse et vie associative;Sport - 219;Titre 6;61;15429580,23
Sport, jeunesse et vie associative;Sport - 219;Titre 6;62;1236602,3
Sport, jeunesse et vie associative;Sport - 219;Titre 6;63;71173921,64
Sport, jeunesse et vie associative;Sport - 219;Titre 6;64;321206870,74
Sport, jeunesse et vie associative;Sport - 219;Titre 7;72;192000
