Mission;Programme;Titre;LFI;LFR;Report_N-1;Mvts_reglementaires;FDC_et_ADP;Fongibilite_asymetrique;Total_AE_Ouvertes;AE_Consommees;Modif_Ouvertures;Modif_Annulations;Report_N+1
Sport, jeunesse et vie associative;Sport - 219;Autres titres - Autres dépenses;645613954;-50514872;8599805;-6873840;13080;0;596838127;537214272,93;0;59610727,07;13127
Transformation et fonction publiques;Conduite et pilotage de la transformation et de la fonction publiques - 368;Titre 2 - Dépenses de personnel;48365748;-469816;0;306397;0;0;48202329;46924714,74;0;1277614,26;0
Transformation et fonction publiques;Fonction publique - 148;Titre 2 - Dépenses de personnel;290000;-110000;0;0;0;0;180000;126097,73;0;53902,27;0
Transformation et fonction publiques;Fonction publique - 148;Autres titres - Autres dépenses;275485829;-19933092;6657369,86;-2989888;10547945,47;0;269768164,33;244381158,46;0;11847039,5;13539966,37
Transformation et fonction publiques;Innovation et transformation numériques - 352;Titre 2 - Dépenses de personnel;3000000;-15000;0;-2985000;0;0;0;0;0;0;0
Transformation et fonction publiques;Innovation et transformation numériques - 352;Autres titres - Autres dépenses;71100000;-37711533;1067533;-500000;6460000;0;40416000;35047974,62;0;493748,38;4874277
Transformation et fonction publiques;Performance et résilience des bâtiments de l'État et de ses opérateurs - 348;Autres titres - Autres dépenses;709843385;-59428597;90614735,08;66939631;0;0;807969154,08;349499130,79;0;1017424,99;457452598,3
Transformation et fonction publiques;Transformation publique - 349;Titre 2 - Dépenses de personnel;1500000;-1040000;0;-430000;0;0;30000;0;0;30000;0
Transformation et fonction publiques;Transformation publique - 349;Autres titres - Autres dépenses;143963360;-75784164;91377569;58952;0;0;159615717;103952656,16;0;55002027,84;661033
Travail et emploi;Accès et retour à l'emploi - 102;Autres titres - Autres dépenses;7536866323;-437700318;28518395;25000000;15000000;0;7167684400;7062038782,94;0;105645617,06;0
Travail et emploi;Accompagnement des mutations économiques et développement de l'emploi - 103;Autres titres - Autres dépenses;14544906927;-1198449864;312908781;-24544823;550010665;0;14184831686;12809862771,01;0;152281918,99;1222686996
Travail et emploi;Amélioration de la qualité de l'emploi et des relations du travail - 111;Autres titres - Autres dépenses;184617840;-12444604;3114946,08;-51600;0;0;175236582,08;172557616,51;0;1648735,8;1030229,77
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Titre 2 - Dépenses de personnel;597633990;-908896;87835;8422669;3778616,22;0;609014214,22;607174998,77;0;1425668,45;413547
Travail et emploi;Conception, gestion et évaluation des politiques de l'emploi et du travail - 155;Autres titres - Autres dépenses;102679251;-6911927;5790499;584429;12459085,73;0;114601337,73;107187479,75;0;1735619,31;5678238,67
