Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
070201;Dégrèvement d'office en faveur des gestionnaires de foyers et des organismes sans but lucratif agréés pour les logements loués à des personnes défavorisées;Taxe d'habitation;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;93;93;33
070204;Dégrèvement de taxe d'habitation en cas de décès du fait d'actes de terrorisme, de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;Taxe d'habitation;Justice;101;Accès au droit et à la justice;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;-;-
070205;Dégrèvement au bénéfice des non-résidents au titre de l’année de leur retour en France d’un pays pour lequel un appel à quitter la zone ou une opération de retour collectif a été décidé;Taxe d'habitation;Action extérieure de l'État;151;Français à l'étranger et affaires consulaires;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;nc
090101;Exonération en faveur de certaines opérations réalisées dans les ZRR;Cotisation foncière des entreprises;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
090104;Réduction de 25 % des bases imposées en Corse au profit des communes et des EPCI. Suppression des parts départementales et régionales.;Cotisation foncière des entreprises;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;7;8
090107;Exonération en faveur des établissements existants au 1er janvier 2006 dans les zones franches urbaines (ZFU) de troisième génération ou créés ou étendus entre le 1er janvier 2006 et le 31 décembre 2014 dans les trois générations de ZFU;Cotisation foncière des entreprises;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
090108;Abattement sur la base nette imposable des établissements situés dans les départements d'outre-mer;Cotisation foncière des entreprises;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;20;20;21
090109;Exonération en faveur des établissements existants au 1er janvier 2015 dans un quartier prioritaire de la politique de la ville (QPV) ou créés ou étendus entre le 1er janvier 2015 et le 31 décembre 2024 dans un QPV;Cotisation foncière des entreprises;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
090110;Exonération en faveur des entreprises dont les établissements vendent au public des écrits périodiques en qualité de mandataires inscrits à la commission du réseau de la diffusion de la presse et revêtent la qualité de diffuseurs de presse spécialistes;Cotisation foncière des entreprises;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;5;5
090111;Exonération en faveur des établissements créés dans un bassin urbain à dynamiser (BUD);Cotisation foncière des entreprises;Cohésion des territoires;147;Politique de la ville;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
090112;Exonération de la cotisation minimum de CFE des redevables réalisant un très faible chiffre d'affaires;Cotisation foncière des entreprises;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;265;265;306
090113;Exonération en faveur des établissements créés dans une zone de développement prioritaire (ZDP);Cotisation foncière des entreprises;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
090114;Exonération en faveur des établissements exerçant une activité commerciale dans une zone de revitalisation des commerces en milieu rural (ZoRCoMiR);Cotisation foncière des entreprises;Cohésion des territoires;112;Impulsion et coordination de la politique d'aménagement du territoire;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
100101;Déduction des versements effectués en vue de la retraite mutualiste du combattant;Impôt sur le revenu;Anciens combattants, mémoire et liens avec la Nation;169;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;23;27;27
100102;Déduction du revenu global des charges foncières supportées par les propriétaires d’immeubles classés ou inscrits au titre des monuments historiques ou labellisés Fondation du patrimoine et non productifs de revenus;Impôt sur le revenu;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;23;23;27
100105;Déduction des avantages en nature consentis en l'absence d'obligation alimentaire à des personnes âgées de plus de 75 ans, de condition modeste, qui vivent sous le toit du contribuable;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;2;3
100114;Déduction des travaux de grosses réparations supportés par les nus-propriétaires dans le cas de démembrements de propriété consécutifs à une succession ou une donation;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;2;1
