Numero_de_depense_fiscale;Libelle_de_la_depense_fiscale;Impot;Mission_principale;Numero_de_programme_principal;Libelle_de_programme_principal;Mission_subsidiaire_n°1;Numero_de_programme_subsidiaire_n°1;Libelle_de_programme_subsidiaire_n°1;Mission_subsidiaire_n°2;Numero_de_programme_subsidiaire_n°2;Libelle_de_programme_subsidiaire_n°2;Montant_N-1_definitif_(millions);Montant_N_initial_(millions);Montant_N_actualise_(millions)
110267;Crédit d'impôt sur le revenu au titre du premier abonnement à un journal, à une publication périodique ou à un service de presse en ligne d'information politique et générale;Impôt sur le revenu;Médias, livre et industries culturelles;180;Presse et médias;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;-;-
110268;Crédit d’impôt destiné à l’acquisition et à la pose de systèmes de charge pour véhicule électrique;Impôt sur le revenu;Écologie, développement et mobilité durables;174;Énergie, climat et après-mines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;12;22;13
110269;Réduction d’impôt sur le revenu en faveur des logements donnés en location dans le cadre d’une convention ANAH (dispositif Loc’Avantages);Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;1;5
110270;Réduction d’impôt sur le revenu au titre des souscriptions au capital de jeunes entreprises innovantes;Impôt sur le revenu;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;-
110271;Réduction d’impôt sur le revenu au titre des souscriptions au capital de jeunes entreprises innovantes qui réalisent un pourcentage de dépenses de recherche supérieur à 30 %;Impôt sur le revenu;Recherche et enseignement supérieur;192;Recherche et enseignement supérieur en matière économique et industrielle;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;-
110302;Réduction, dans la limite d’un certain montant, pour les contribuables des départements d’outre-mer de la cotisation résultant du barème (30 % en Guadeloupe, Martinique et Réunion , 40 % en Guyane et à Mayotte);Impôt sur le revenu;Outre-mer;123;Conditions de vie outre-mer;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;383;391;383
110307;Imposition des salaires ou des bénéfices des écrivains, des artistes et des sportifs selon une moyenne triennale ou quinquennale;Impôt sur le revenu;Culture;131;Création;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
110308;Décharge de paiement d'impôt sur le revenu en cas de décès du fait d'actes de terrorisme, de la participation à une opération extérieure ou de sécurité intérieure ou dans des circonstances ayant entraîné une citation à l'ordre de la Nation;Impôt sur le revenu;Justice;101;Accès au droit et à la justice;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;nc;ε
120101;Exonération du salaire différé de l'héritier d'un exploitant agricole ayant cessé de participer directement et gratuitement à l'exploitation avant le 1er juillet 2014;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;1;1
120104;Exonération du traitement attaché à la légion d'honneur et à la médaille militaire;Impôt sur le revenu;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
120108;Exonération des sommes versées au titre de la participation, de l'intéressement, de l'abondement, d'un partage de plus-value, des primes de partage de la valeur, d’un plan de partage de la valorisation de l’entreprise, aux plans d'épargne salariale et aux plans d'épargne retraite d'entreprise collectifs ou obligatoires;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2750;2580;2750
120109;Exonération du salaire des apprentis et des gratifications versées aux stagiaires versées à compter du 12 juillet 2014;Impôt sur le revenu;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Enseignement scolaire;141;Enseignement scolaire public du second degré;Recherche et enseignement supérieur;231;Vie étudiante;353;373;370
120111;Exonération de la participation des employeurs au financement des titres-restaurant;Impôt sur le revenu;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;479;505;505
120112;Exonération de la contribution patronale et de la participation financière du comité d'entreprise et des organismes à caractère social au financement des chèques vacances;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;97;103;103
120113;Exonération partielle de la prise en charge par l'employeur, une collectivité territoriale ou Pôle emploi, des frais de transport entre le domicile et le lieu de travail;Impôt sur le revenu;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;Écologie, développement et mobilité durables;203;Infrastructures et services de transports;Sans objet;Sans objet;Sans objet;189;nc;228
120116;Exonération des gratifications allouées à l'occasion de la remise de la médaille d'honneur du travail;Impôt sur le revenu;Travail et emploi;111;Amélioration de la qualité de l'emploi et des relations du travail;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;8;8;8
120117;Exonération totale pour les prestations et rentes viagères servies aux victimes d'accidents du travail et de maladies professionnelles et à hauteur de 50 % pour les indemnités temporaires;Impôt sur le revenu;Santé;183;Protection maladie;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;494;487;515
120123;Exonération des vacations horaires et des avantages retraite servis aux sapeurs-pompiers volontaires;Impôt sur le revenu;Sécurités;161;Sécurité civile;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;75;71;75
120124;Exonération totale ou partielle des sommes versées aux salariés détachés à l'étranger;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;219;nc;nc
120126;Exonération des pensions servies en vertu des dispositions du code des pensions militaires d'invalidité et des victimes de guerre, de la retraite du combattant, des retraites mutuelles servies aux anciens combattants et aux victimes de guerre, de certaines allocations servies aux anciens harkis et assimilées ou à leurs ayant droits et de certaines prestations versées aux orphelins de guerre;Impôt sur le revenu;Anciens combattants, mémoire et liens avec la Nation;169;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;Anciens combattants, mémoire et liens avec la nation;158;Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;Sans objet;Sans objet;Sans objet;93;99;92
120127;Exonération des indemnités versées aux réservistes en période d'instruction, aux personnes accomplissant un service civique ou une autre forme de volontariat;Impôt sur le revenu;Défense;178;Préparation et emploi des forces;Sécurités;152;Gendarmerie nationale;Sans objet;Sans objet;Sans objet;98;93;105
120128;Exonération de la rente viagère lorsqu'un PEA se dénoue après 5 ans ou un PEP après 8 ans;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;37;nc;44
120129;Exonération de l'aide financière versée par l'Etat aux créateurs ou repreneurs d'entreprises (art. L. 5141-2 du code du travail);Impôt sur le revenu;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;ε;ε;ε
120131;Exonération temporaire des suppléments de rémunération versés aux salariés et mandataires sociaux au titre de l'exercice d'une activité professionnelle en France (primes d'impatriation), de la fraction de leur rémunération correspondant à l'activité exercée à l'étranger et de la rémunération des salariés et dirigeants de la Chambre de commerce internationale;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;322;252;361
120132;Exonération d'impôt sur le revenu (sur option) des salaires perçus par les jeunes au titre d'une activité exercée pendant leurs études secondaires ou supérieures ou leurs congés scolaires ou universitaires;Impôt sur le revenu;Recherche et enseignement supérieur;231;Vie étudiante;Enseignement scolaire;141;Enseignement scolaire public du second degré;Sans objet;Sans objet;Sans objet;305;406;312
120133;Exonération des indemnités versées aux victimes de l'amiante;Impôt sur le revenu;Santé;183;Protection maladie;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;6;8
120134;Exonération de l'aide financière versée par l'employeur ou par le comité d'entreprise en faveur des salariés afin de financer des services à la personne;Impôt sur le revenu;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;50;47;50
120138;Exonération sous plafond des indemnités reçues par les salariés en cas de rupture conventionnelle du contrat de travail (ou dispositifs assimilés);Impôt sur le revenu;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;283;279;285
120139;Exonération des sommes correspondant à des jours de congés non-pris ou prélevées sur un compte épargne-temps (CET) pour alimenter un PERCO ou un plan d'épargne retraite d'entreprise collectif ou obligatoire, dans la limite de dix jours par an;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;7;7
120140;Exonération du pécule modulable d'incitation au départ des militaires;Impôt sur le revenu;Défense;212;Soutien de la politique de la défense;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;2
120141;Exonération de l'indemnité de départ volontaire versée dans le cadre d'une restructuration ou d'une réorganisation du ministère de la défense;Impôt sur le revenu;Défense;212;Soutien de la politique de la défense;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
120142;Exonération de la prise en charge directe à titre de pensions alimentaires des dépenses d'hospitalisation ou d'hébergement en établissement : - des ascendants privés de ressources suffisantes par leurs enfants ou petits-enfants , - des enfants majeurs infirmes dénués de ressources par leurs parents;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;16;17;16
120143;Exonération des indemnités versées aux victimes des essais nucléaires français et à leurs ayants-droit;Impôt sur le revenu;Direction de l'action du Gouvernement;129;Coordination du travail gouvernemental;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;2;1
120144;Exonération de l’impôt sur le revenu des indemnités versées aux militaires au titre de leur participation aux opérations visant à la défense de la souveraineté de la France et à la préservation de l'intégrité de son territoire, engagées ou renforcées à la suite des attentats commis sur le territoire national en 2015;Impôt sur le revenu;Défense;178;Préparation et emploi des forces;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;8;8;16
120145;Exonération de l’impôt sur le revenu de l’indemnité journalière d’absence temporaire versée aux personnels des compagnies républicaines de sécurité et aux gendarmes mobiles;Impôt sur le revenu;Sécurités;176;Police nationale;Sécurités;152;Gendarmerie nationale;Sans objet;Sans objet;Sans objet;12;12;14
120146;Exonération de l’impôt sur le revenu, sous certaines conditions et limites, des rémunérations versées à raison des heures supplémentaires et complémentaires réalisées à compter du 1er janvier 2019;Impôt sur le revenu;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1814;1787;1840
120147;Exonération partielle des indemnités journalières versées aux exploitants agricoles au titre d'un régime d'assurance obligatoire contre les accidents du travail et les maladies professionnelles;Impôt sur le revenu;Agriculture, alimentation, forêt et affaires rurales;149;Compétitivité et durabilité de l'agriculture, de l'agroalimentaire et de la forêt;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;3
120201;Exonération de l'aide personnalisée au logement, de l'allocation de logement familiale et de l'allocation de logement sociale;Impôt sur le revenu;Cohésion des territoires;109;Aide à l'accès au logement;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;63;76;64
120202;Exonération des prestations familiales et de l'allocation aux adultes handicapés;Impôt sur le revenu;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;1605;1850;1755
120203;Exonération des allocations, indemnités et prestations d'assistance et d'assurance;Impôt sur le revenu;Cohésion des territoires;177;Hébergement, parcours vers le logement et insertion des personnes vulnérables;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;144;103;144
120204;Exonération des indemnités journalières de sécurité sociale servies au titre des maladies "longues et coûteuses";Impôt sur le revenu;Santé;204;Prévention, sécurité sanitaire et offre de soins;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;545;580;565
120205;Exonération de l'allocation personnalisée d'autonomie (APA);Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;125;135;125
120206;Exonération de la prestation de compensation servie aux personnes handicapées en application de l'article L. 245-1 du code de l'action sociale et des familles;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;75;85;85
120401;Abattement de 10 % sur le montant des pensions (y compris les pensions alimentaires) et des retraites;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;4533;4544;4806
120402;Abattements des articles 150-0 D ou 150-0 D ter du CGI au gain d'acquisition d'actions gratuites dont l'autorisation d'attribution par l'assemblée générale intervient du 8 août 2015 au 31 décembre 2017 et abattement de 50 % (ou le cas échéant de l’article 150-0 D ter) lorsque cette autorisation d’attribution intervient à compter du 1er janvier 2018.;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;121;111;177
120501;Régime spécial d'imposition des assistants maternels et des assistants familiaux régis par les articles L. 421-1 et suivants et L. 423-1 et suivants du code de l'action sociale et des familles;Impôt sur le revenu;Solidarité, insertion et égalité des chances;304;Inclusion sociale et protection des personnes;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;391;605;391
120503;Imposition, sous certaines conditions, aux taux forfaitaires de 41%, 30 % ou 18 % des gains de levée d'options de souscription ou d'achat d'actions attribuées avant le 28 septembre 2012;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;nc;nc
120504;Imposition au taux forfaitaire de 19 % des gains nets provenant de la cession des titres souscrits en exercice des bons de parts de créateur d'entreprise attribués jusqu’au 31 décembre 2017 et au taux forfaitaire de 12,8 %, après application le cas échéant de l’abattement de l’article 150-0 D ter du CGI, pour les bons attribués à compter du 1er janvier 2018.;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;85;nc;45
120506;Imposition au taux forfaitaire de 30 % de l'avantage (« gain d'acquisition ») résultant de l'attribution d'actions gratuites avant le 28 septembre 2012;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;7;nc;nc
120507;Etalement sur quatre ans de l'imposition du montant des droits transférés d'un compte épargne-temps vers un plan d'épargne pour la retraite collectif (PERCO) ou d'un plan d'épargne entreprise investi en titres de l'entreprise ou assimilés et de la fraction imposable des indemnités de départ volontaire en retraite ou de mise à la retraite;Impôt sur le revenu;Travail et emploi;103;Accompagnement des mutations économiques et développement de l'emploi;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;-;-
120508;Imposition au taux forfaitaire des prestations de retraite versées sous forme de capital : 12,8 % pour la part correspondant aux produits provenant d'un plan d'épargne retraite , 7,5 % pour les autres prestations de retraite servies sous forme de capital;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;285;332;264
120509;Etalement sur quatre ans de l'imposition du montant des primes versées par l'Etat aux sportifs médaillés aux Jeux olympiques et paralympiques et à leur guide;Impôt sur le revenu;Sport, jeunesse et vie associative;219;Sport;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;N/A;nc;N/A
130101;Exonération d’impôt sur le revenu au titre des revenus fonciers pour les associés personnes physiques des SCI d’accession progressive à la propriété;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
130201;Déduction des dépenses de réparations et d'amélioration;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Écologie, développement et mobilité durables;181;Prévention des risques;Sans objet;Sans objet;Sans objet;1836;nc;nc
130203;Déduction spécifique sur les revenus des logements loués sous conditions de loyer et de ressources du locataire : Dispositif BESSON ancien;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;16;-;-
130204;Déduction dégressive sur les revenus des logements neufs loués à usage d'habitation principale : Dispositif PERISSOL;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;24;26;20
130208;Déduction dégressive sur les revenus des logements loués à usage d'habitation principale pour les investissements réalisés entre le 3 avril 2003 et le 31 décembre 2009 : Dispositifs ROBIEN classique et ROBIEN recentré;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;18;40;18
130209;Déduction dégressive sur les revenus des logements neufs loués à usage d'habitation principale (sous conditions de loyer et de ressources du locataire à compter du 1er janvier 1999) pour les investissements réalisés jusqu'au 3 avril 2003 : Dispositif BESSON neuf;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;3;1
130211;Déduction sur les revenus des logements loués à usage d'habitation principale dans les zones de revitalisation rurale : Dispositif ROBIEN ZRR jusqu'en 2009 et SCELLIER ZRR à compter de 2009;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;6;2;6
130213;Déduction des dépenses d'amélioration afférentes aux propriétés non bâties;Impôt sur le revenu;Écologie, développement et mobilité durables;113;Paysages, eau et biodiversité;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;ε;1
130214;Déduction spécifique sur les revenus des logements neufs à usage d'habitation principale (sous conditions de loyer et de ressources du locataire) : Dispositif BORLOO populaire;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;24;20;20
130215;Déduction spécifique sur les revenus des logements donnés en location dans le cadre d'une convention ANAH : Dispositif BORLOO ancien;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;45;49;42
130217;Déduction des intérêts d'emprunt supportés par les nus-propriétaires de logements dont l'usufruit est détenu temporairement par un bailleur social (opérations "d'usufruit locatif social");Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;1;2
130218;Déduction spécifique sur les revenus fonciers des logements donnés en location dans le cadre d’une convention ANAH : dispositif COSSE;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;27;23;22
130302;Imputation sur le revenu global sans limitation de montant des déficits fonciers supportés par les propriétaires d’immeubles classés ou inscrits au titre des monuments historiques ou labellisés Fondation du patrimoine (immeubles bâtis);Impôt sur le revenu;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;48;20;48
130304;Doublement du plafond du déficit foncier imputable sur le revenu global pour les propriétaires bailleurs réalisant des travaux de rénovation énergétique;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;nc;nc
140101;Exonération des intérêts et primes versés dans le cadre de l'épargne logement;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;475;445;426
140102;Exonération des intérêts des livrets A;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;395;906;950
140103;Exonération des intérêts des livrets bleus;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;36;78;80
140104;Exonération des intérêts des livrets de développement durable;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;165;375;384
140105;Exonération des intérêts des livrets d'épargne populaire;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;54;134;145
140106;Exonération des intérêts des livrets jeune;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;10;11
140109;Exonération des revenus provenant de l'épargne salariale (participation, plan d'épargne salariale et compartiment épargne salariale des plans d'épargne retraite);Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;590;550;590
140117;Exonération des dividendes capitalisés sur un plan d'épargne en actions;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;419;nc;479
140119;Exonération ou imposition réduite des produits attachés aux bons ou contrats de capitalisation et d'assurance-vie;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;532;542;549
140120;Exonération des produits attachés à certains contrats d'assurance investis en actions ouverts avant le 1er janvier 2014;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;2;2;2
140122;Exonération, sous certaines conditions, des revenus des parts de fonds communs de placement à risques (FCPR) et des produits distribués des sociétés de capital risque (SCR);Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;9;6;9
140123;Exonération des produits des plans d'épargne populaire;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;70;122;101
140126;Exonération temporaire à hauteur de 50 % des revenus de capitaux mobiliers perçus à l'étranger par des personnes physiques impatriées;Impôt sur le revenu;Économie;134;Développement des entreprises et régulations;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;3;4;6
140127;Exonération d’impôt sur le revenu des dividendes capitalisés sur un plan d’épargne avenir climat (PEAC);Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;-;création;N/A
140308;Prélèvement libératoire à taux réduit sur les produits de placement à revenus fixes abandonnés dans le cadre d'un mécanisme d'épargne solidaire;Impôt sur le revenu;Aide publique au développement;110;Aide économique et financière au développement;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;1;ε;1
140309;Mécanisme d’imputation de la perte en capital subie en cas de non-remboursement de prêts participatifs, ou de minibons souscrits jusqu’au 10 novembre 2023, exclusivement sur les intérêts d’autres prêts participatifs ou d’autres minibons lorsque ceux-ci ont été souscrits jusqu’au 10 novembre 2023;Impôt sur le revenu;Engagements financiers de l'État;145;Épargne;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;6;6
150114;Exonération de la première cession d'un logement en France par des personnes physiques non résidentes de France, ressortissantes d'un Etat membre de l'Espace économique européen (EEE), dans la limite de 150 000 € de plus-value nette imposable;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;20;20;15
150117;Exonération des plus-values de cession réalisées par des titulaires de pensions de vieillesse ou de la carte « mobilité inclusion » portant la mention « invalidité », sous conditions de revenus et de patrimoine;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;15;15;15
150118;Exonération des plus-values immobilières au titre des cessions d’immeubles effectuées jusqu’au 31 décembre 2025, sous conditions, au profit d’organismes en charge du logement social et de tout cessionnaire prenant l’engagement de réaliser des logements sociaux et/ou intermédiaires.;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;15;10;15
150119;Exonération des plus-values immobilières au titre des cessions d'immeubles au profit des collectivités territoriales ou de certains établissements publics et sociétés en vue de leur cession par ceux-ci à des organismes en charge du logement social, réalisées jusqu’au 31 décembre 2025;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;ε;ε;ε
150120;Exonération des plus-values immobilières au titre de la première cession d'un logement sous condition de remploi par le cédant d'une fraction du prix de cession à l'acquisition ou la construction d'un logement affecté à son habitation principale;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;50;55;40
150121;Exonération des plus-values immobilières réalisées par les personnes âgées ou handicapées à l'occasion de la cession de leur ancienne résidence principale avant leur entrée dans un établissement médicalisé;Impôt sur le revenu;Solidarité, insertion et égalité des chances;157;Handicap et dépendance;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
150209;Abattement exceptionnel de 70% ou de 85% applicable, sous conditions, aux plus-values de cession de terrains à bâtir ou d'immeubles bâtis destinés à la démolition, en vue de la construction de logements, en zones A et A bis, réalisées du 1er janvier 2018 au 31 décembre 2022;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;-;-
150210;Abattement exceptionnel de 60 %, 75 % ou 85 % applicable, sous conditions, aux plus-values de cessions réalisées jusqu’au 31 décembre 2027, de terrains à bâtir ou d'immeubles bâtis destinés à la construction, la démolition-reconstruction ou la réhabilitation, en vue de la création de logements;Impôt sur le revenu;Cohésion des territoires;135;Urbanisme, territoires et amélioration de l'habitat;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;nc;nc;nc
150403;Exonération de la taxe forfaitaire sur les bijoux, objets d'art, de collection et d'antiquité en cas de vente aux musées bénéficiaires de l'appellation "musée de France" ou aux services d'archives et bibliothèques de l'Etat, d'une collectivité territoriale ou d'une autre personne publique;Impôt sur le revenu;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;6;5
150405;Exonération de la taxe forfaitaire pour les cessions et exportations de métaux précieux, bijoux, objets d'art, de collection et d'antiquité réalisées par des non-résidents;Impôt sur le revenu;Culture;175;Patrimoines;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;Sans objet;5;5;5
