Niveau hiérarchique de la ligne,Catégorie,Section,Ligne de prévision,Ligne d'exécution,LFI,LFR/LFG,Total des prévisions,Total des recouvrements,Total des recettes**
0,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,,93364477675,-5196509310,88167968365,0,0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110101 - Créances antérieures à 1998,0,0,0,"10690400,58",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110102 - Créances postérieures à 1997,0,0,0,"20351153626,92",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110103 - Imposition des plus-values - Prélèvement dû par les particuliers (CGI art 200B),0,0,0,"877951117,68",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110104 - Prélèvement à la source obligatoire non libératoire sur les dividendes et revenus assimilés et sur les produits de placement à revenu fixe,0,0,0,"7505597039,77",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110105 - Prélèvement à la source - acompte contemporain et acompte de confidentialité,0,0,0,19105257999,0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110106 - Prélèvement à la source - Collecteurs,0,0,0,"58692450393,66",0
1,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu,110107 - Prélèvement à la source - DGFIP payeur,0,0,0,"7907683474,31",0
2,Recettes fiscales,11 - Impôt sur le revenu,1101 - Impôt sur le revenu (total),1101 - Impôt sur le revenu (total),93364477675,-5196509310,88167968365,"114450784051,92",0
3,Recettes fiscales,11 - Impôt sur le revenu (total),11 - Impôt sur le revenu (total),11 - Impôt sur le revenu (total),93364477675,-5196509310,88167968365,"114450784051,92","87987247678,47"
0,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,,2632399489,215900511,2848300000,0,0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120101 - Autres impôts d'État Créances antérieures à 1998,0,0,0,"3724458,38",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120102 - Autres impôts d'État Créances postérieures à 1997,0,0,0,"884242696,12",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120103 - Autres impôts d'État - Produits compris dans les rôles d'impôts locaux (créances postérieures à 1997),0,0,0,"398527032,57",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120106 - Autres impôts d'État - Produits compris dans les rôles de taxe sur les logements vacants,0,0,0,"12124664,07",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120107 - Frais d'assiette et de recouvrement des impôts sur rôles établis au profit des collectivités territoriales pour les produits compris dans les rôles d'IR,0,0,0,"180521355,19",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120108 - Frais d'assiette et de recouvrement des impôts sur rôles établis au profit des collectivités territoriales pour les produits compris dans les rôles d'impôts locaux,0,0,0,"344212419,33",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120115 - Frais d'assiette et de recouvrement sur le produit de la taxe sur les surfaces commerciales,0,0,0,"20,82",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120116 - Autres impôts d'État Produit de la CVAE-La Poste,0,0,0,231548,0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120119 - Frais d'assiette et de recouvrement sur le produit de la TASCOM due au titre de 2011 et ultérieures,0,0,0,"15460199,55",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120121 - Autres impôts d'État (pénalités impôts économiques locaux),0,0,0,"14536430,35",0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120123 - Frais PS PAS,0,0,0,158938614,0
1,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles,120124 - Reprise des frais de gestion de la TFPB (art 81 LFI 2019),0,0,0,114239787,0
2,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles,1201 - Autres impôts directs perçus par voie d'émission de rôles (total),1201 - Autres impôts directs perçus par voie d'émission de rôles (total),2632399489,215900511,2848300000,"2126759225,38",0
3,Recettes fiscales,12 - Autres impôts directs perçus par voie d'émission de rôles (total),12 - Autres impôts directs perçus par voie d'émission de rôles (total),12 - Autres impôts directs perçus par voie d'émission de rôles (total),2632399489,215900511,2848300000,"2126759225,38","2126759225,38"
0,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,,72046845041,-14346898081,57699946960,0,0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130101 - Pénalités,0,0,0,"282579631,13",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130102 - Impôt sur les sociétés perçu par voie de rôles,0,0,0,"4425937,93",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130103 - Impôt sur les sociétés sur PEC,0,0,0,"2895756532,59",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130104 - Impôt sur les sociétés perçu sans rôle Ex N-2,0,0,0,"2558427205,19",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130105 - Impôt sur les sociétés perçu sans rôle Ex N-1,0,0,0,"13223211707,22",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130106 - Impôt sur les sociétés perçu sans rôle Ex N,0,0,0,"63490403235,7",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130107 - Contribution IS sur PEC,0,0,0,"28784966,03",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130108 - Contribution IS Ex N-2,0,0,0,51648,0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130111 - Contribution annuelle représentative du droit au bail,0,0,0,"388,35",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130112 - Contribution sur les revenus locatifs,0,0,0,"761574438,06",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,130113 - Imposition forfaitaire annuelle à laquelle sont assujetties les personnes morales passibles de l'impôt sur les sociétés,0,0,0,"441973,63",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés,"130114 - Contribution temporaire de solidarité applicable aux entreprises des secteurs du pétrole, du charbon, du raffinage et du gaz",0,0,0,"7343322,88",0
2,Recettes fiscales,13 - Impôt sur les sociétés,1301 - Impôt sur les sociétés (total),1301 - Impôt sur les sociétés (total),72046845041,-14346898081,57699946960,"83253000986,71",0
0,Recettes fiscales,13 - Impôt sur les sociétés,1302 - Contribution sociale sur les bénéfices des sociétés,,1741600000,-150600000,1591000000,0,0
1,Recettes fiscales,13 - Impôt sur les sociétés,1302 - Contribution sociale sur les bénéfices des sociétés,130201 - CSB Ex N-2,0,0,0,16811767,0
1,Recettes fiscales,13 - Impôt sur les sociétés,1302 - Contribution sociale sur les bénéfices des sociétés,130202 - CSB Ex N-1,0,0,0,281525396,0
1,Recettes fiscales,13 - Impôt sur les sociétés,1302 - Contribution sociale sur les bénéfices des sociétés,130203 - CSB Ex N,0,0,0,1138325493,0
1,Recettes fiscales,13 - Impôt sur les sociétés,1302 - Contribution sociale sur les bénéfices des sociétés,"130204 - CSB perçue par voie de titre, rôle ou AMR",0,0,0,"59410324,57",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1302 - Contribution sociale sur les bénéfices des sociétés,130205 - Pénalités,0,0,0,"6440936,15",0
1,Recettes fiscales,13 - Impôt sur les sociétés,1302 - Contribution sociale sur les bénéfices des sociétés,130206 - CSB perçue suite à la mise en œuvre de la procédure L62 du LPF,0,0,0,16847154,0
2,Recettes fiscales,13 - Impôt sur les sociétés,1302 - Contribution sociale sur les bénéfices des sociétés (total),1302 - Contribution sociale sur les bénéfices des sociétés (total),1741600000,-150600000,1591000000,"1519361070,72",0
0,Recettes fiscales,13 - Impôt sur les sociétés,1303 - Contribution de la Caisse des dépôts et consignations représentative de l'impôt sur les sociétés,,341000000,119000000,460000000,0,0
1,Recettes fiscales,13 - Impôt sur les sociétés,1303 - Contribution de la Caisse des dépôts et consignations représentative de l'impôt sur les sociétés,130301 - Contribution de la Caisse des dépôts et consignations représentative de l'impôt sur les sociétés,0,0,0,459572227,0
2,Recettes fiscales,13 - Impôt sur les sociétés,1303 - Contribution de la Caisse des dépôts et consignations représentative de l'impôt sur les sociétés (total),1303 - Contribution de la Caisse des dépôts et consignations représentative de l'impôt sur les sociétés (total),341000000,119000000,460000000,459572227,0
3,Recettes fiscales,13 - Impôt sur les sociétés (total),13 - Impôt sur les sociétés (total),13 - Impôt sur les sociétés (total),74129445041,-14378498081,59750946960,"85231934284,43","59399055048,61"
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1401 - Retenues à la source sur certains bénéfices non commerciaux et de l'impôt sur le revenu,,1080000000,320000000,1400000000,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1401 - Retenues à la source sur certains bénéfices non commerciaux et de l'impôt sur le revenu,140101 - Retenues à la source sur certains bénéfices non commerciaux et de l'impôt sur le revenu,0,0,0,"1205496933,83",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1401 - Retenues à la source sur certains bénéfices non commerciaux et de l'impôt sur le revenu,140102 - Prélèvement libératoire forfaitaire de l'impôt sur le revenu pour les très petites entreprises (flat tax),0,0,0,"213672361,72",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1401 - Retenues à la source sur certains bénéfices non commerciaux et de l'impôt sur le revenu (total),1401 - Retenues à la source sur certains bénéfices non commerciaux et de l'impôt sur le revenu (total),1080000000,320000000,1400000000,"1419169295,55",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1402 - Retenues à la source et prélèvements sur les revenus de capitaux mobiliers et le prélèvement sur les bons anonymes,,4800000000,100000000,4900000000,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1402 - Retenues à la source et prélèvements sur les revenus de capitaux mobiliers et le prélèvement sur les bons anonymes,140201 - Retenues à la source et prélèvements sur les revenus de capitaux mobiliers et le prélèvement sur les bons anonymes,0,0,0,"4541847073,91",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1402 - Retenues à la source et prélèvements sur les revenus de capitaux mobiliers et le prélèvement sur les bons anonymes (total),1402 - Retenues à la source et prélèvements sur les revenus de capitaux mobiliers et le prélèvement sur les bons anonymes (total),4800000000,100000000,4900000000,"4541847073,91",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1404 - Précompte dû par les sociétés au titre de certains bénéfices distribués (loi n°65-566 du 12 juillet 1965 art 3),"140401 - Précompte dû par les sociétés au titre de certains bénéfices distribués (loi °65-566 du 12 juillet 1965, art 3)",0,0,0,"23276,39",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1404 - Précompte dû par les sociétés au titre de certains bénéfices distribués (loi n°65-566 du 12 juillet 1965 art 3) (total),1404 - Précompte dû par les sociétés au titre de certains bénéfices distribués (loi n°65-566 du 12 juillet 1965 art 3) (total),0,0,0,"23276,39",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1405 - Prélèvement exceptionnel de 25% sur les distributions de bénéfices,,0,1135409,1135409,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1405 - Prélèvement exceptionnel de 25% sur les distributions de bénéfices,140501 - Prélèvement exceptionnel de 25% sur les distributions de bénéfices,0,0,0,160500,0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1405 - Prélèvement exceptionnel de 25% sur les distributions de bénéfices (total),1405 - Prélèvement exceptionnel de 25% sur les distributions de bénéfices (total),0,1135409,1135409,160500,0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1406 - Impôt sur la fortune immobilière,,2439000000,213357061,2652357061,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1406 - Impôt sur la fortune immobilière,140601 - Impôt de solidarité sur la fortune,0,0,0,"101377108,13",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1406 - Impôt sur la fortune immobilière,140602 - Majoration de 10% de l'impôt de solidarité sur la fortune,0,0,0,23135,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1406 - Impôt sur la fortune immobilière,140603 - Impôt de solidarité sur la fortune perçu par voie de rôle,0,0,0,"4265162,37",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1406 - Impôt sur la fortune immobilière,"140605 - Prélèvement sur les biens, droits et produits placés dans un trust- Art 990J du CGI",0,0,0,"66298158,99",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1406 - Impôt sur la fortune immobilière,140606 - Impôt sur la fortune immobilière,0,0,0,"2567360650,88",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1406 - Impôt sur la fortune immobilière (total),1406 - Impôt sur la fortune immobilière (total),2439000000,213357061,2652357061,"2739324215,37",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,"1407 - Taxe sur les locaux à usage de bureaux, les locaux commerciaux et de stockage",,15000000,1666583,16666583,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,"1407 - Taxe sur les locaux à usage de bureaux, les locaux commerciaux et de stockage","140702 - Taxe sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées. Reliquat SGP",0,0,0,"27169764,06",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,"1407 - Taxe sur les locaux à usage de bureaux, les locaux commerciaux et de stockage (total)","1407 - Taxe sur les locaux à usage de bureaux, les locaux commerciaux et de stockage (total)",15000000,1666583,16666583,"27169764,06",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1408 - Prélèvements sur les entreprises d'assurance,,162000000,-7362889,154637111,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1408 - Prélèvements sur les entreprises d'assurance,140801 - Prélèvements sur les entreprises d'assurance,0,0,0,"159636265,87",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1408 - Prélèvements sur les entreprises d'assurance (total),1408 - Prélèvements sur les entreprises d'assurance (total),162000000,-7362889,154637111,"159636265,87",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1410 - Cotisation minimale de taxe professionnelle,,1000000,-177172,822828,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1410 - Cotisation minimale de taxe professionnelle,141001 - Cotisation minimale de taxe professionnelle,0,0,0,"702958,94",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1410 - Cotisation minimale de taxe professionnelle (total),1410 - Cotisation minimale de taxe professionnelle (total),1000000,-177172,822828,"702958,94",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1411 - Cotisations perçues au titre de la participation des employeurs à l'effort de construction,,34000000,-7576837,26423163,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1411 - Cotisations perçues au titre de la participation des employeurs à l'effort de construction,141102 - Cotisations perçues au titre de la participation des employeurs à l'effort de construction (sur les rémunérations versées après le 1er janvier 2000),0,0,0,"26245117,12",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1411 - Cotisations perçues au titre de la participation des employeurs à l'effort de construction (total),1411 - Cotisations perçues au titre de la participation des employeurs à l'effort de construction (total),34000000,-7576837,26423163,"26245117,12",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1412 - Taxe de participation des employeurs au financement de la formation professionnelle continue,,42000000,2249467,44249467,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1412 - Taxe de participation des employeurs au financement de la formation professionnelle continue,141201 - Taxe de participation des employeurs au financement de la formation professionnelle continue,0,0,0,"33129508,99",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1412 - Taxe de participation des employeurs au financement de la formation professionnelle continue (total),1412 - Taxe de participation des employeurs au financement de la formation professionnelle continue (total),42000000,2249467,44249467,"33129508,99",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,"1413 - Taxe forfaitaire sur les métaux précieux, les bijoux, les objets d'art, de collection et d'antiquité",,123000000,-7308091,115691909,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,"1413 - Taxe forfaitaire sur les métaux précieux, les bijoux, les objets d'art, de collection et d'antiquité","141301 - Taxe forfaitaire sur les métaux précieux, les bijoux, les objets d'art, de collection et d'antiquité",0,0,0,"141977667,74",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,"1413 - Taxe forfaitaire sur les métaux précieux, les bijoux, les objets d'art, de collection et d'antiquité (total)","1413 - Taxe forfaitaire sur les métaux précieux, les bijoux, les objets d'art, de collection et d'antiquité (total)",123000000,-7308091,115691909,"141977667,74",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1415 - Contribution des institutions financières,141501 - Contribution des institutions financières,0,0,0,55335,0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1415 - Contribution des institutions financières (total),1415 - Contribution des institutions financières (total),0,0,0,55335,0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1416 - Taxe sur les surfaces commerciales,,226000000,1942530,227942530,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1416 - Taxe sur les surfaces commerciales,141601 - Taxe sur les surfaces commerciales,0,0,0,"14744,04",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1416 - Taxe sur les surfaces commerciales,141602 - Taxe additionnelle à la TASCOM,0,0,0,196060,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1416 - Taxe sur les surfaces commerciales,141603 - Majoration de 50% de la TASCOM pour les grandes surfaces,0,0,0,"227968305,6",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1416 - Taxe sur les surfaces commerciales (total),1416 - Taxe sur les surfaces commerciales (total),226000000,1942530,227942530,"228179109,64",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1421 - Cotisation nationale de péréquation de taxe professionnelle,,1000000,204927,1204927,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1421 - Cotisation nationale de péréquation de taxe professionnelle,142101 - Reversement au budget général de diverses ressources affectées,0,0,0,984443,0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1421 - Cotisation nationale de péréquation de taxe professionnelle (total),1421 - Cotisation nationale de péréquation de taxe professionnelle (total),1000000,204927,1204927,984443,0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1427 - Prélèvements de solidarité,,15210000000,-425090272,14784909728,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1427 - Prélèvements de solidarité,142701 - Prélèvements de solidarité patrimoine,0,0,0,"3203284844,17",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1427 - Prélèvements de solidarité,142702 - Prélèvements de solidarité placement,0,0,0,"8789897016,68",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1427 - Prélèvements de solidarité,142703 - Prélèvements de solidarité - Prélèvement à la source IR-CS,0,0,0,2997333629,0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1427 - Prélèvements de solidarité (total),1427 - Prélèvements de solidarité (total),15210000000,-425090272,14784909728,"14990515489,85",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1430 - Taxe sur les services numériques,,800000000,-44000000,756000000,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1430 - Taxe sur les services numériques,143001 - Taxe sur les services numériques,0,0,0,785467072,0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1430 - Taxe sur les services numériques (total),1430 - Taxe sur les services numériques (total),800000000,-44000000,756000000,785467072,0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1431 - Taxe d'habitation sur les résidences principales,,180000000,-33000000,147000000,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1431 - Taxe d'habitation sur les résidences principales,143101 - Taxe d'habitation sur les résidences principales,0,0,0,"94066938,08",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1431 - Taxe d'habitation sur les résidences principales (total),1431 - Taxe d'habitation sur les résidences principales (total),180000000,-33000000,147000000,"94066938,08",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1497 - Cotisation sur la valeur ajoutée des entreprises (affectation temporaire à l'État),,4160000000,130663216,4290663216,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1497 - Cotisation sur la valeur ajoutée des entreprises (affectation temporaire à l'État),149701 - Cotisation sur la valeur ajoutée des entreprises (affectation temporaire à l'État),0,0,0,793375,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1497 - Cotisation sur la valeur ajoutée des entreprises (affectation temporaire à l'État),149702 - Reliquats de cotisations sur la valeur ajoutée des entreprises revenant à l'État (Réforme des impôts de production de la LFI 2021),0,0,0,"4263785530,68",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1497 - Cotisation sur la valeur ajoutée des entreprises (affectation temporaire à l'État) (total),1497 - Cotisation sur la valeur ajoutée des entreprises (affectation temporaire à l'État) (total),4160000000,130663216,4290663216,"4264578905,68",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1498 - Cotisation foncière des entreprises (affectation temporaire à l'État en 2010),,1000000,1292405,2292405,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1498 - Cotisation foncière des entreprises (affectation temporaire à l'État en 2010),149801 - Cotisation foncière des entreprises (affectation temporaire à l'État pour la période d'imposition 2010),0,0,0,"792377,74",0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1498 - Cotisation foncière des entreprises (affectation temporaire à l'État en 2010) (total),1498 - Cotisation foncière des entreprises (affectation temporaire à l'État en 2010) (total),1000000,1292405,2292405,"792377,74",0
0,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,,1009750000,243299340,1253049340,0,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149901 - Prélèvements sur les bénéfices tirés de la construction immobilière (loi n°63-254 du 15 mars 1963 art 28-IV),0,0,0,"52664473,1",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149903 - Recettes diverses,0,0,0,"161139458,38",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149904 - Taxe due par les opérateurs de communications électroniques,0,0,0,"236322871,51",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149908 - Taxe exceptionnelle de solidarité sur les hautes rémunérations,0,0,0,"1662658,22",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149910 - Taxe annuelle sur les logements vacants,0,0,0,"920831834,1",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149922 - Contribution additionnelle à l'IS sur les montants de dividendes distribués,0,0,0,703555,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149923 - Taxe spéciale d'équipement. Reliquat SGP,0,0,0,1112358,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149929 - Taxe sur les plus values de cessions d'immeubles autres que des terrains à bâtir. Reliquat Fonds géré par la Caisse de garantie du logement social locatif,0,0,0,"72473155,96",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149930 - Taxe sur la cession à titre onéreux de terrains nus rendus constructibles. Reliquat ASP,0,0,0,"4373410,77",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149931 - TCA- TFPNB. Reliquat chambres d'agriculture,0,0,0,458393,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149932 - TA-CFE. Reliquat chambres de commerce et d'industrie de région,0,0,0,7447977,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149933 - TA-CFE. Reliquat chambres régionales de métiers et d'artisanat,0,0,0,51109804,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149935 - TA-CVAE. Reliquat chambres de commerce et d'industrie de région,0,0,0,69683345,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149938 - Contribution au redressement des finances publiques,0,0,0,62718153,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149939 - Taxe spéciale d'équipement. Reliquat établissements publics fonciers et agences pour la mise en valeur des espaces urbains de la zone dite des cinquante pas géométriques,0,0,0,254904,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149941 - Frais d'inscription au registre des exploitants de voitures de transport avec chauffeur,0,0,0,3637490,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149942 - Indemnité de défrichement-Reliquat ASP,0,0,0,"2330067,6",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149949 - Taxe additionnelle spéciale annuelle au profit de la région d'Ile-de-France (art 1599 quater D du CGI)- plafonnement,0,0,0,777220,0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149954 - Contribution de solidarité territoriale (à compter du 01/01/2021),0,0,0,"965,13",0
1,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses,149955 - Taxe sur le résultat des entreprises ferroviaires (à compter du 01/01/2021),0,0,0,6780,0
2,Recettes fiscales,14 - Autres impôts directs et taxes assimilées,1499 - Recettes diverses (total),1499 - Recettes diverses (total),1009750000,243299340,1253049340,"1649708873,77",0
3,Recettes fiscales,14 - Autres impôts directs et taxes assimilées (total),14 - Autres impôts directs et taxes assimilées (total),14 - Autres impôts directs et taxes assimilées (total),30283750000,491295677,30775045677,"31103734188,7","31103734188,7"
0,Recettes fiscales,15 - Taxe intérieure de consommation sur les produits énergétiques,1501 - Taxe intérieure de consommation sur les produits énergétiques,,15390076908,534761715,15924838623,0,0
1,Recettes fiscales,15 - Taxe intérieure de consommation sur les produits énergétiques,1501 - Taxe intérieure de consommation sur les produits énergétiques,150101 - Taxe intérieure de consommation sur les produits énergétiques,0,0,0,"17977526920,95",0
2,Recettes fiscales,15 - Taxe intérieure de consommation sur les produits énergétiques,1501 - Taxe intérieure de consommation sur les produits énergétiques (total),1501 - Taxe intérieure de consommation sur les produits énergétiques (total),15390076908,534761715,15924838623,"17977526920,95",0
